position,pfr_name,feature,pretty_feature,feature_family,feature_in_regression_primary,feature_in_regression_secondary,feature_in_hit_classifier,raw_value,historical_median,historical_nonmissing_n,raw_value_percentile,raw_value_missing,base_pred_best2of3_ppg,neutralized_pred_best2of3_ppg,score_delta_ppg,base_hit_probability,neutralized_hit_probability,hit_delta_pp,direction_conflict,abs_score_delta_ppg,abs_hit_delta_pp
RB,Demond Claiborne,log_pick,log draft pick,Draft capital,1,1,1,5.288267030694535,4.912654885736052,417,75.29976019184652,0,2.995577286247344,3.581980692656355,-0.5864034064090111,0.03680477663874626,0.03680477663874626,0.0,0,0.5864034064090111,0.0
RB,Demond Claiborne,pick_inv_sqrt,inverse-root draft pick,Draft capital,1,1,1,0.0710669054518701,0.0857492925712544,417,25.179856115107913,0,2.995577286247344,3.0261882854567785,-0.030610999209434553,0.03680477663874626,0.03680477663874626,0.0,0,0.030610999209434553,0.0
RB,Demond Claiborne,day1,first-round indicator,Draft capital,1,1,1,0.0,0.0,417,90.88729016786571,0,2.995577286247344,2.995577286247344,0.0,0.03680477663874626,0.03680477663874626,0.0,0,0.0,0.0
RB,Demond Claiborne,day2,day-two indicator,Draft capital,1,1,1,0.0,0.0,417,75.77937649880096,0,2.995577286247344,2.995577286247344,0.0,0.03680477663874626,0.03680477663874626,0.0,0,0.0,0.0
RB,Demond Claiborne,rush_EPAplay_final,EPAplay final season,Rushing production,1,0,1,-0.0535527833621016,0.05816116805206855,384,19.010416666666664,0,2.995577286247344,3.0141116740340728,-0.01853438778672878,0.03680477663874626,0.0371628999710083,-0.03581233322620392,0,0.01853438778672878,0.03581233322620392
RB,Demond Claiborne,rush_EPAplay_peak,EPAplay career peak,Rushing production,1,0,1,0.0160945785815635,0.15689281768844285,384,12.5,0,2.995577286247344,2.9469803704430078,0.04859691580433623,0.03680477663874626,0.03680477663874626,0.0,0,0.04859691580433623,0.0
RB,Demond Claiborne,rush_EPAplay_mean,EPAplay career mean,Rushing production,1,0,1,-0.1186121765188535,0.04567769847052325,384,9.635416666666668,0,2.995577286247344,3.0049111432141684,-0.009333856966824428,0.03680477663874626,0.03680477663874626,0.0,0,0.009333856966824428,0.0
RB,Demond Claiborne,rush_EPAplay_expadj_peak,EPAplay experience-adjusted peak,Rushing production,1,0,1,0.0177040364397198,0.1733522286169144,384,12.760416666666666,0,2.995577286247344,2.9161906130085926,0.07938667323875137,0.03680477663874626,0.03721358999609947,-0.040881335735321045,1,0.07938667323875137,0.040881335735321045
RB,Demond Claiborne,rush_success_final,success final season,Rushing production,1,0,1,0.3625,0.456012750537918,384,8.59375,0,2.995577286247344,3.0992590792321364,-0.10368179298479241,0.03680477663874626,0.03680477663874626,0.0,0,0.10368179298479241,0.0
RB,Demond Claiborne,rush_success_peak,success career peak,Rushing production,1,0,1,0.4114832535885167,0.5,384,6.510416666666667,0,2.995577286247344,2.926063993804826,0.06951329244251792,0.03680477663874626,0.03680477663874626,0.0,0,0.06951329244251792,0.0
RB,Demond Claiborne,rush_success_mean,success career mean,Rushing production,1,0,1,0.3174182271902326,0.44883752598563964,384,2.34375,0,2.995577286247344,3.19736454845016,-0.20178726220281584,0.03680477663874626,0.048579178750514984,-1.1774402111768723,0,0.20178726220281584,1.1774402111768723
RB,Demond Claiborne,rush_success_expadj_peak,success experience-adjusted peak,Rushing production,1,0,1,0.4526315789473684,0.5688194444444443,384,8.59375,0,2.995577286247344,2.997334701402915,-0.0017574151555708184,0.03680477663874626,0.040122922509908676,-0.33181458711624146,0,0.0017574151555708184,0.33181458711624146
RB,Demond Claiborne,rush_rush_share_final,rushing share final season,Rushing production,1,0,1,0.4232804232804232,0.41468294802314143,384,51.302083333333336,0,2.995577286247344,2.9975685477976097,-0.001991261550265744,0.03680477663874626,0.03715696930885315,-0.03521926701068878,0,0.001991261550265744,0.03521926701068878
RB,Demond Claiborne,rush_rush_share_peak,rushing share career peak,Rushing production,1,0,1,0.5903954802259888,0.47386239171562283,384,81.51041666666666,0,2.995577286247344,3.0063821906040795,-0.010804904356735534,0.03680477663874626,0.035652417689561844,0.11523589491844177,1,0.010804904356735534,0.11523589491844177
RB,Demond Claiborne,rush_rush_share_mean,rushing share career mean,Rushing production,1,0,1,0.3384901301893965,0.3068073156013553,384,58.333333333333336,0,2.995577286247344,3.0304117135109623,-0.034834427263618295,0.03680477663874626,0.029069215059280396,0.7735561579465866,1,0.034834427263618295,0.7735561579465866
RB,Demond Claiborne,rush_rush_share_expadj_peak,rushing share experience-adjusted peak,Rushing production,1,0,1,0.6494350282485877,0.5025579630501911,384,85.9375,0,2.995577286247344,2.972244343557488,0.023332942689855862,0.03680477663874626,0.03709235042333603,-0.028757378458976746,1,0.023332942689855862,0.028757378458976746
RB,Demond Claiborne,rush_rush_yard_share_final,rushing-yard share final season,Rushing production,1,0,1,0.3811007268951194,0.42115453132071295,384,40.625,0,2.995577286247344,3.03201303973478,-0.036435753487435996,0.03680477663874626,0.03680477663874626,0.0,0,0.036435753487435996,0.0
RB,Demond Claiborne,rush_rush_yard_share_peak,rushing-yard share career peak,Rushing production,1,0,1,0.5719512195121951,0.48215987880350286,384,69.01041666666666,0,2.995577286247344,3.0350237623269534,-0.03944647607960938,0.03680477663874626,0.03680477663874626,0.0,0,0.03944647607960938,0.0
RB,Demond Claiborne,rush_rush_yard_share_mean,rushing-yard share career mean,Rushing production,1,0,1,0.323852105656118,0.32142656623958454,384,50.520833333333336,0,2.995577286247344,2.993595566925068,0.0019817193222761986,0.03680477663874626,0.03680477663874626,0.0,0,0.0019817193222761986,0.0
RB,Demond Claiborne,rush_rush_yard_share_expadj_peak,rushing-yard share experience-adjusted peak,Rushing production,1,0,1,0.6291463414634146,0.5190974730740805,384,74.73958333333334,0,2.995577286247344,2.9660179374760247,0.02955934877131927,0.03680477663874626,0.03722865879535675,-0.04238821566104889,1,0.02955934877131927,0.04238821566104889
RB,Demond Claiborne,rec_EPAplay_final,EPAplay final season,Receiving production,1,0,1,-0.3290629751152462,0.2673495996881414,383,5.7441253263707575,0,2.995577286247344,3.1447013303094598,-0.14912404406211577,0.03680477663874626,0.04287746176123619,-0.6072685122489929,0,0.14912404406211577,0.6072685122489929
RB,Demond Claiborne,rec_EPAplay_peak,EPAplay career peak,Receiving production,1,0,1,0.6290873885154724,0.5955136455595493,383,53.26370757180157,0,2.995577286247344,2.980576322024787,0.015000964222557034,0.03680477663874626,0.03680477663874626,0.0,0,0.015000964222557034,0.0
RB,Demond Claiborne,rec_EPAplay_mean,EPAplay career mean,Receiving production,1,0,1,0.3091508857799731,0.2543730995662155,383,55.09138381201044,0,2.995577286247344,2.97803595443471,0.017541331812633842,0.03680477663874626,0.03680477663874626,0.0,0,0.017541331812633842,0.0
RB,Demond Claiborne,rec_EPAplay_expadj_peak,EPAplay experience-adjusted peak,Receiving production,1,0,1,0.7549048662185669,0.6543289840221406,383,61.096605744125334,0,2.995577286247344,2.9869226760271697,0.00865461022017433,0.03680477663874626,0.03680477663874626,0.0,0,0.00865461022017433,0.0
RB,Demond Claiborne,rec_success_final,success final season,Receiving production,1,0,1,0.2777777777777778,0.5,383,7.049608355091384,0,2.995577286247344,3.1232359077842977,-0.12765862153695373,0.03680477663874626,0.04292390123009682,-0.6119124591350555,0,0.12765862153695373,0.6119124591350555
RB,Demond Claiborne,rec_success_peak,success career peak,Receiving production,1,0,1,0.5384615384615384,0.6,383,28.198433420365536,0,2.995577286247344,2.9657866980724368,0.029790588174907207,0.03680477663874626,0.03680477663874626,0.0,0,0.029790588174907207,0.0
RB,Demond Claiborne,rec_success_mean,success career mean,Receiving production,1,0,1,0.4387464387464386,0.4962121212121211,383,32.114882506527415,0,2.995577286247344,3.089334684307585,-0.09375739806024086,0.03680477663874626,0.03979947790503502,-0.29947012662887573,0,0.09375739806024086,0.29947012662887573
RB,Demond Claiborne,rec_success_expadj_peak,success experience-adjusted peak,Receiving production,1,0,1,0.6,0.6933333333333334,383,31.33159268929504,0,2.995577286247344,2.8328732024635306,0.1627040837838134,0.03680477663874626,0.03647745028138161,0.032732635736465454,0,0.1627040837838134,0.032732635736465454
RB,Demond Claiborne,rec_target_share_final,target share final season,Receiving production,1,0,1,0.1008403361344537,0.0779220779220779,383,67.62402088772846,0,2.995577286247344,2.8339645717313227,0.16161271451602133,0.03680477663874626,0.03740711510181427,-0.06023384630680084,1,0.16161271451602133,0.06023384630680084
RB,Demond Claiborne,rec_target_share_peak,target share career peak,Receiving production,1,0,1,0.1056910569105691,0.091254752851711,383,61.61879895561357,0,2.995577286247344,3.023434852032662,-0.027857565785318172,0.03680477663874626,0.03680477663874626,0.0,0,0.027857565785318172,0.0
RB,Demond Claiborne,rec_target_share_mean,target share career mean,Receiving production,1,0,1,0.0756465187701096,0.063243633085418,383,66.84073107049609,0,2.995577286247344,3.040652511360662,-0.04507522511331796,0.03680477663874626,0.03711957484483719,-0.03147982060909271,0,0.04507522511331796,0.03147982060909271
RB,Demond Claiborne,rec_target_share_expadj_peak,target share experience-adjusted peak,Receiving production,1,0,1,0.116260162601626,0.0982142857142857,383,65.27415143603133,0,2.995577286247344,3.0564292799600485,-0.060851993712704555,0.03680477663874626,0.03558535873889923,0.12194178998470306,1,0.060851993712704555,0.12194178998470306
RB,Demond Claiborne,rb_scrim_ypg_final,scrimmage yards per game final season,Rushing production,1,0,1,80.9090909090909,105.22222222222224,385,28.57142857142857,0,2.995577286247344,3.007923963385408,-0.01234667713806381,0.03680477663874626,0.03680477663874626,0.0,0,0.01234667713806381,0.0
