college_season,draft_year_if_final_college_season,source_date,teamrankings_team,team_key,tr_sos_rank,tr_sos_rating,source_url,tr_sos_rank_pct,tr_sos_z
2025,2026,2026-01-20,Louisiana Tech,louisianatech,117,-11.0,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.14074074074074072,-1.1579622974779222
2025,2026,2026-01-20,Louisiana,louisiana,118,-11.0,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.1333333333333333,-1.1579622974779222
2025,2026,2026-01-20,Missouri St,missourist,119,-11.0,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.12592592592592589,-1.1579622974779222
2025,2026,2026-01-20,Florida Intl,floridainternational,120,-11.5,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.11851851851851847,-1.2104705905083961
2025,2026,2026-01-20,UL Monroe,louisianamonroe,121,-11.9,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.11111111111111116,-1.2524772249327754
2025,2026,2026-01-20,E Michigan,easternmichigan,122,-12.0,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.10370370370370374,-1.26297888353887
2025,2026,2026-01-20,Delaware,delaware,123,-12.0,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.09629629629629632,-1.26297888353887
2025,2026,2026-01-20,App State,appalachianstate,124,-12.1,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.0888888888888889,-1.2734805421449649
2025,2026,2026-01-20,N Illinois,northernillinois,125,-12.4,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.08148148148148149,-1.3049855179632492
2025,2026,2026-01-20,Jacksonville St,jacksonvillest,126,-12.4,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.07407407407407407,-1.3049855179632492
2025,2026,2026-01-20,Sam Houston,samhouston,127,-12.5,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.06666666666666665,-1.3154871765693439
2025,2026,2026-01-20,Ball St,ballstate,128,-12.9,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.059259259259259234,-1.3574938109937231
2025,2026,2026-01-20,Bowling Green,bowlinggreen,129,-13.1,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.051851851851851816,-1.3784971282059126
2025,2026,2026-01-20,Middle Tenn,middletennessee,130,-13.4,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.0444444444444444,-1.410002104024197
2025,2026,2026-01-20,Buffalo,buffalo,131,-14.0,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.03703703703703709,-1.4730120556607658
2025,2026,2026-01-20,New Mexico St,newmexicostate,132,-14.1,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.029629629629629672,-1.4835137142668604
2025,2026,2026-01-20,UTEP,texaselpaso,133,-14.6,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.022222222222222254,-1.5360220072973345
2025,2026,2026-01-20,Kent St,kentstate,134,-14.9,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.014814814814814836,-1.5675269831156189
2025,2026,2026-01-20,Akron,akron,135,-16.3,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.007407407407407418,-1.714550203600946
2025,2026,2026-01-20,UMass,massachusetts,136,-17.0,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.0,-1.7880618138436093
