position,pfr_name,feature_coverage,mean_5nn_distance,neighbor_density_percentile,model_confidence_score,model_confidence,out_of_distribution_flag,nearest5_historical_hit_rate,nearest5_historical_star_rate,nearest5_historical_primary_ppg_mean,closest_historical_comps,closest_comp_1,closest_comp_2,closest_comp_3,similarity_feature_count,historical_reference_n
WR,KC Concepcion,0.9847328244274809,0.6499261731375114,50.0,64.54198473282443,Medium,0,0.2,0.2,8.455036764705882,Jalen Reagor (2020); Christian Kirk (2018); Donte Moncrief (2014); Calvin Ridley (2018); N'Keal Harry (2019),Jalen Reagor (2020),Christian Kirk (2018),Donte Moncrief (2014),131,586
WR,Omar Cooper Jr.,1.0,0.7400716882310139,28.498293515358363,49.94880546075085,Medium,0,0.0,0.0,2.210757352941177,Keshawn Martin (2012); Quintez Cephus (2020); Joe Adams (2012); Joe Reed (2020); Kadarius Toney (2021),Keshawn Martin (2012),Quintez Cephus (2020),Joe Adams (2012),131,586
WR,De'Zhaun Stribling,0.9694656488549618,0.5664360214589522,73.03754266211604,80.21024932913008,High,0,0.4,0.2,7.91033088235294,Andre Caldwell (2008); Michael Wilson (2023); Chris Conley (2015); Eddie Royal (2008); Christian Watson (2022),Andre Caldwell (2008),Michael Wilson (2023),Chris Conley (2015),131,586
WR,Denzel Boston,1.0,0.6735201608767978,43.85665529010239,60.69965870307167,Medium,0,0.4,0.0,6.824889705882353,Michael Pittman Jr. (2020); Cody Latimer (2014); Chase Claypool (2020); Christian Watson (2022); Jeremy Ebert (2012),Michael Pittman Jr. (2020),Cody Latimer (2014),Chase Claypool (2020),131,586
WR,Germie Bernard,1.0,0.6472308654997994,50.68259385665529,65.47781569965869,Medium,0,0.0,0.0,2.199375,Keshawn Martin (2012); Joe Adams (2012); Early Doucet (2008); Joe Reed (2020); Travis Benjamin (2012),Keshawn Martin (2012),Joe Adams (2012),Early Doucet (2008),131,586
WR,Antonio Williams,1.0,0.5654703214835777,73.72013651877133,81.60409556313994,High,0,0.0,0.0,5.231573529411763,Nathaniel Dell (2023); Josh Palmer (2021); Van Jefferson (2020); Armanti Edwards (2010); D'Wayne Eskridge (2021),Nathaniel Dell (2023),Josh Palmer (2021),Van Jefferson (2020),131,586
WR,Malachi Fields,1.0,0.6925969897845261,40.27303754266212,58.19112627986348,Medium,0,0.4,0.4,7.271580882352941,Michael Wilson (2023); Christian Watson (2022); Cooper Kupp (2017); Chad Williams (2017); Keenan Burton (2008),Michael Wilson (2023),Christian Watson (2022),Cooper Kupp (2017),131,586
WR,Caleb Douglas,1.0,0.46435111132705914,87.20136518771331,91.04095563139931,High,0,0.2,0.2,6.120330882352941,Christian Watson (2022); Cooper Kupp (2017); Chris Conley (2015); Tyquan Thornton (2022); Chad Williams (2017),Christian Watson (2022),Cooper Kupp (2017),Chris Conley (2015),131,586
WR,Zachariah Branch,1.0,0.496967036700521,85.32423208191126,89.72696245733788,High,0,0.2,0.0,6.531176470588235,Anthony Schwartz (2021); Curtis Samuel (2017); Amari Rodgers (2021); Randall Cobb (2011); Nathaniel Dell (2023),Anthony Schwartz (2021),Curtis Samuel (2017),Amari Rodgers (2021),131,586
WR,Ja'Kobi Lane,1.0,0.8363480176838767,17.235494880546078,42.06484641638225,Medium,0,0.2,0.0,5.404338235294118,Early Doucet (2008); Dwayne Bowe (2007); Quintez Cephus (2020); Austin Pettis (2011); Cody Latimer (2014),Early Doucet (2008),Dwayne Bowe (2007),Quintez Cephus (2020),131,586
