position,current_player,current_draft_pick,comp_rank,comp_player,comp_draft_year,comp_draft_pick,feature_space_distance,comp_prospect_model_score,comp_prospect_model_percentile,comp_primary_ppg,comp_hit3,comp_star3,comp_best_rank3
WR,Ja'Kobi Lane,80,4,Austin Pettis,2011,78,0.853846405665744,3.755356052295919,52.0,5.6875,0,0,71.0
WR,Ja'Kobi Lane,80,5,Cody Latimer,2014,56,0.883059406943308,6.194565034013606,70.28571428571428,1.05,0,0,155.0
WR,Chris Brazzell II,83,1,Chad Williams,2017,98,0.5862906065126511,5.370401079748624,64.57142857142857,1.575,0,0,126.0
WR,Chris Brazzell II,83,2,Laurent Robinson,2007,75,0.5931919503970112,3.942050765306127,54.85714285714286,3.7624999999999993,0,0,78.0
WR,Chris Brazzell II,83,3,Mike Sims-Walker,2007,79,0.5944030345700486,4.130464961734697,56.38095238095238,7.1125,1,0,24.0
WR,Chris Brazzell II,83,4,Jerome Simpson,2008,46,0.5992639249602439,6.266576092687077,71.23809523809524,1.971875,0,0,94.0
WR,Chris Brazzell II,83,5,Cooper Kupp,2017,69,0.6002121480172569,5.268939770224817,63.61904761904762,13.98125,1,1,4.0
WR,Ted Hurst,84,1,Justin Hunter,2013,34,0.9984467463670473,6.203497448979595,70.47619047619048,5.4125,0,0,79.0
WR,Ted Hurst,84,2,Derek Hagan,2006,82,1.0026566369682859,,,4.04375,0,0,82.0
WR,Ted Hurst,84,3,T.Y. Hilton,2012,92,1.0799784713056517,6.556635488945578,72.95238095238096,14.98125,1,1,12.0
WR,Ted Hurst,84,4,Mario Urrutia,2008,246,1.0810090744501961,3.416369264455784,46.85714285714286,0.0,0,0,
WR,Ted Hurst,84,5,Cedrick Wilson,2018,208,1.096278839723062,2.1670595025510213,26.09523809523809,1.913125,0,0,117.0
WR,Zavion Thomas,89,1,Van Jefferson,2020,57,0.4715204476868331,6.899807548519409,75.23809523809524,7.267647058823528,0,0,36.0
WR,Zavion Thomas,89,2,Marquise Goodwin,2013,78,0.5077000627226118,3.1346394897959176,42.095238095238095,2.1437500000000003,0,0,101.0
WR,Zavion Thomas,89,3,Derrick Williams,2009,82,0.5090147638260057,4.54279018282313,59.42857142857143,0.55,0,0,140.0
WR,Zavion Thomas,89,4,Hunter Renfrow,2019,149,0.591543181287631,1.90144175170068,21.52380952380952,11.792463235294116,1,1,10.0
WR,Zavion Thomas,89,5,Dexter McCluster,2010,36,0.6159020283093564,4.458722471655328,59.04761904761905,7.70625,0,0,51.0
WR,Chris Bell,94,1,Cody Latimer,2014,56,0.5486777193690777,6.194565034013606,70.28571428571428,1.05,0,0,155.0
WR,Chris Bell,94,2,Michael Pittman Jr.,2020,34,0.5818266591593442,6.963048478391352,76.0,13.385294117647058,1,0,17.0
WR,Chris Bell,94,3,Devin Duvernay,2020,92,0.5833244869913938,5.856789740146061,68.0,5.685294117647058,0,0,59.0
WR,Chris Bell,94,4,Gabriel Davis,2020,128,0.6107532010741817,1.8823264885954376,21.142857142857142,9.32518382352941,0,0,35.0
WR,Chris Bell,94,5,Jordan Payton,2016,154,0.611710757268926,1.6851788647959187,17.71428571428571,0.040625,0,0,196.0
WR,Brenen Thompson,105,1,Martavis Bryant,2014,118,0.7948599999301156,3.871090971513605,54.095238095238095,9.384375,0,0,38.0
WR,Brenen Thompson,105,2,Jalen Camp,2021,209,0.8374820893641504,1.831780695278111,20.0,0.0499999999999999,0,0,208.0
