position,target,family,feature_set,n_features_listed,model_spec,reference_n,matched_n,rmse,mae,max_abs,pearson,spearman,error
RB,hit3,cat,ranked_top12,12,cat4_unweighted,86,86,0.21920057950445862,0.13398537703878635,0.7494688037435709,0.6014084742971201,0.49329685362517095,
RB,hit3,cat,ranked_top12,12,cat3_balanced,86,86,0.30369910742543793,0.18670539508484085,0.8854941480018933,0.6291988276521249,0.5089957073446861,
RB,hit3,cat,ranked_top12,12,cat4_balanced,86,86,0.29472137899796846,0.17923485995600927,0.8806062458819152,0.6353616513172541,0.4957309307042785,
RB,hit3,cat,ranked_top12,12,cat3_scaled,86,86,0.30369910742543793,0.18670539508484085,0.8854941480018933,0.6291988276521249,0.5089957073446861,
RB,hit3,cat,ranked_top12,12,cat4_scaled,86,86,0.29472137899796846,0.17923485995600927,0.8806062458819152,0.6353616513172541,0.4957309307042785,
RB,hit3,cat,ranked_top12,12,cat3_balanced_imp,86,0,inf,inf,inf,,,"AttributeError(""The following error was raised: 'CatBoostClassifier' object has no attribute '__sklearn_tags__'. It seems that there are no classes that implement `__sklearn_tags__` in the MRO and/or all classes in the MRO call `super().__sklearn_tags__()`. Make sure to inherit from `BaseEstimator` which implements `__sklearn_tags__` (or alternatively define `__sklearn_tags__` but we don't recommend this approach). Note that `BaseEstimator` needs to be on the right side of other Mixins in the inheritance order."")"
RB,hit3,cat,ranked_top12,12,cat4_balanced_imp,86,0,inf,inf,inf,,,"AttributeError(""The following error was raised: 'CatBoostClassifier' object has no attribute '__sklearn_tags__'. It seems that there are no classes that implement `__sklearn_tags__` in the MRO and/or all classes in the MRO call `super().__sklearn_tags__()`. Make sure to inherit from `BaseEstimator` which implements `__sklearn_tags__` (or alternatively define `__sklearn_tags__` but we don't recommend this approach). Note that `BaseEstimator` needs to be on the right side of other Mixins in the inheritance order."")"
RB,hit3,cat,draftcap_plus_top12,18,cat3_unweighted,86,86,0.21809491316213367,0.1306505936602154,0.737103776461381,0.624043313228588,0.5271286381433087,
RB,hit3,cat,draftcap_plus_top12,18,cat4_unweighted,86,86,0.21453610521565566,0.13175069511488588,0.6827313109623274,0.6294734648310756,0.5638284824755885,
RB,hit3,cat,draftcap_plus_top12,18,cat3_balanced,86,86,0.29045575247976363,0.17456005537740482,0.8639847335690274,0.6418944441970332,0.5395443181282136,
RB,hit3,cat,draftcap_plus_top12,18,cat4_balanced,86,86,0.28711794459450324,0.17056489682196085,0.7918369967524771,0.6361362883891679,0.5602622765224775,
RB,hit3,cat,draftcap_plus_top12,18,cat3_scaled,86,86,0.29045575247976363,0.17456005537740482,0.8639847335690274,0.6418944441970332,0.5395443181282136,
RB,hit3,cat,draftcap_plus_top12,18,cat4_scaled,86,86,0.28711794459450324,0.17056489682196085,0.7918369967524771,0.6361362883891679,0.5602622765224775,
RB,hit3,cat,draftcap_plus_top12,18,cat3_balanced_imp,86,0,inf,inf,inf,,,"AttributeError(""The following error was raised: 'CatBoostClassifier' object has no attribute '__sklearn_tags__'. It seems that there are no classes that implement `__sklearn_tags__` in the MRO and/or all classes in the MRO call `super().__sklearn_tags__()`. Make sure to inherit from `BaseEstimator` which implements `__sklearn_tags__` (or alternatively define `__sklearn_tags__` but we don't recommend this approach). Note that `BaseEstimator` needs to be on the right side of other Mixins in the inheritance order."")"
RB,hit3,cat,draftcap_plus_top12,18,cat4_balanced_imp,86,0,inf,inf,inf,,,"AttributeError(""The following error was raised: 'CatBoostClassifier' object has no attribute '__sklearn_tags__'. It seems that there are no classes that implement `__sklearn_tags__` in the MRO and/or all classes in the MRO call `super().__sklearn_tags__()`. Make sure to inherit from `BaseEstimator` which implements `__sklearn_tags__` (or alternatively define `__sklearn_tags__` but we don't recommend this approach). Note that `BaseEstimator` needs to be on the right side of other Mixins in the inheritance order."")"
RB,hit3,cat,ranked_top16,16,cat3_unweighted,86,86,0.21545612973644657,0.129550579765806,0.7657388045854355,0.6308986187799311,0.5113920467946601,
RB,hit3,cat,ranked_top16,16,cat4_unweighted,86,86,0.21610419914857826,0.13030281908320981,0.7222834657417264,0.6240586376877583,0.5624699278267843,
RB,hit3,cat,ranked_top16,16,cat3_balanced,86,86,0.2810765085547289,0.16906481154520833,0.8865882769346983,0.6564753803384965,0.5365253077975376,
RB,hit3,cat,ranked_top16,16,cat4_balanced,86,86,0.2924649946262707,0.17612932112422122,0.7778872523823942,0.6451713885620913,0.5379216000754753,
RB,hit3,cat,ranked_top16,16,cat3_scaled,86,86,0.2810765085547289,0.16906481154520833,0.8865882769346983,0.6564753803384965,0.5365253077975376,
RB,hit3,cat,ranked_top16,16,cat4_scaled,86,86,0.2924649946262707,0.17612932112422122,0.7778872523823942,0.6451713885620913,0.5379216000754753,
RB,hit3,cat,ranked_top16,16,cat3_balanced_imp,86,0,inf,inf,inf,,,"AttributeError(""The following error was raised: 'CatBoostClassifier' object has no attribute '__sklearn_tags__'. It seems that there are no classes that implement `__sklearn_tags__` in the MRO and/or all classes in the MRO call `super().__sklearn_tags__()`. Make sure to inherit from `BaseEstimator` which implements `__sklearn_tags__` (or alternatively define `__sklearn_tags__` but we don't recommend this approach). Note that `BaseEstimator` needs to be on the right side of other Mixins in the inheritance order."")"
RB,hit3,cat,ranked_top16,16,cat4_balanced_imp,86,0,inf,inf,inf,,,"AttributeError(""The following error was raised: 'CatBoostClassifier' object has no attribute '__sklearn_tags__'. It seems that there are no classes that implement `__sklearn_tags__` in the MRO and/or all classes in the MRO call `super().__sklearn_tags__()`. Make sure to inherit from `BaseEstimator` which implements `__sklearn_tags__` (or alternatively define `__sklearn_tags__` but we don't recommend this approach). Note that `BaseEstimator` needs to be on the right side of other Mixins in the inheritance order."")"
RB,hit3,cat,draftcap_plus_top16,22,cat3_unweighted,86,86,0.2121907828267432,0.1307061917506807,0.7038647142428074,0.6725379076861574,0.5532430775036558,
RB,hit3,cat,draftcap_plus_top16,22,cat4_unweighted,86,86,0.19770651168023265,0.12555818018384807,0.5616320939420264,0.6765673904628199,0.5528657012123213,
RB,hit3,cat,draftcap_plus_top16,22,cat3_balanced,86,86,0.27657359809107757,0.16232319452572203,0.8249008070109223,0.6574923479009724,0.557205528562668,
RB,hit3,cat,draftcap_plus_top16,22,cat4_balanced,86,86,0.2749171063081376,0.1567729262351222,0.8177800808311239,0.6653468807898373,0.5673946884286994,
RB,hit3,cat,draftcap_plus_top16,22,cat3_scaled,86,86,0.27657359809107757,0.16232319452572203,0.8249008070109223,0.6574923479009724,0.557205528562668,
RB,hit3,cat,draftcap_plus_top16,22,cat4_scaled,86,86,0.2749171063081376,0.1567729262351222,0.8177800808311239,0.6653468807898373,0.5673946884286994,
