college_season,source_date,teamrankings_team,team_key,sos,sos_rank,plays_pg,plays_pg_rank,opp_plays_pg,opp_plays_pg_rank,sos_z,sos_pct,plays_pg_z,plays_pg_pct,opp_plays_pg_z,opp_plays_pg_pct,total_game_plays_pg,team_pace_factor_vs_median,game_pace_factor_vs_median
2004,2005-01-05,Oklahoma St,oklahomast,4.2,15,67.6,103,70.6,38,1.1473853028819312,0.8888888888888888,-1.0893445657911187,0.1282051282051282,-0.3875383445590264,0.3247863247863248,138.2,1.0621301775147929,1.0434153400868307
2004,2005-01-05,Virginia,virginia,4.0,16,70.8,71,64.6,8,1.1063195089274542,0.8675213675213675,-0.3271494519204487,0.4017094017094017,-1.8193905439297313,0.06837606837606838,135.39999999999998,1.0141242937853108,1.0649926144756279
2004,2005-01-05,Notre Dame,notredame,4.0,17,70.6,72,71.2,42,1.1063195089274542,0.8675213675213675,-0.3747866465373662,0.39316239316239315,-0.24435312462195388,0.36324786324786323,141.8,1.0169971671388103,1.016925246826516
2004,2005-01-05,LSU,lsu,3.9,18,71.2,67,64.7,9,1.0857866119502155,0.8547008547008547,-0.23187506268661365,0.44017094017094016,-1.7955263406068842,0.07692307692307693,135.9,1.0084269662921348,1.061074319352465
2004,2005-01-05,Ohio St,ohiost,3.7,19,64.4,113,74.9,86,1.0447208179957383,0.8461538461538461,-1.8515396796617856,0.038461538461538464,0.6386223983233148,0.7307692307692307,139.3,1.1149068322981366,1.0351758793969847
2004,2005-01-05,Michigan,michigan,3.4,20,77.1,16,69.3,26,0.9831221270640225,0.8376068376068376,1.173422178512431,0.8803418803418803,-0.6977729877560118,0.2264957264957265,146.39999999999998,0.9312581063553826,0.9849726775956285
2004,2005-01-05,Georgia,georgia,3.3,21,71.9,56,63.9,6,0.9625892300867838,0.8290598290598291,-0.06514488152740402,0.5256410256410257,-1.986439967189646,0.05128205128205128,135.8,0.9986091794158553,1.0618556701030926
2004,2005-01-05,Florida St,floridast,3.2,22,74.2,41,69.4,28,0.9420563331095453,0.8205128205128205,0.48268285656713894,0.6581196581196581,-0.6739087844331647,0.23931623931623933,143.60000000000002,0.9676549865229109,1.004178272980501
2004,2005-01-05,Auburn,auburn,3.0,23,66.0,108,63.8,4,0.9009905391550682,0.7948717948717948,-1.4704421227264521,0.08547008547008547,-2.0103041705124913,0.038461538461538464,129.8,1.087878787878788,1.1109399075500768
2004,2005-01-05,Tennessee,tennessee,3.0,24,70.2,78,69.2,25,0.9009905391550682,0.7948717948717948,-0.47006103577119784,0.3418803418803419,-0.7216371910788555,0.21367521367521367,139.4,1.0227920227920226,1.0344332855093255
2004,2005-01-05,Georgia Tech,georgiatech,3.0,25,72.4,53,70.1,32,0.9009905391550682,0.7948717948717948,0.05394810501488807,0.5555555555555556,-0.5068593611732518,0.27350427350427353,142.5,0.9917127071823203,1.0119298245614035
2004,2005-01-05,UCLA,ucla,3.0,26,70.4,75,76.6,101,0.9009905391550682,0.7948717948717948,-0.42242384115428033,0.36324786324786323,1.0443138548116786,0.8675213675213675,147.0,1.0198863636363635,0.9809523809523809
