college_season,source_date,metric,rank,teamrankings_team,team_key,value,source_url
2004,2005-01-05,sos,92,Miami OH,miamioh,-5.5,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,93,UConn,uconn,-5.6,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,94,Tulsa,tulsa,-5.7,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,95,UCF,ucf,-6.0,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,96,Akron,akron,-6.4,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,97,Utah St,utahst,-6.6,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,98,Hawai'i,hawaii,-6.6,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,99,Tulane,tulane,-6.7,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,100,Ohio,ohio,-6.9,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,101,San Jose St,sanjosest,-6.9,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,102,N Illinois,nillinois,-7.3,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,103,New Mexico St,newmexicost,-7.6,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,104,Arkansas St,arkansasst,-7.9,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,105,Ball St,ballst,-8.5,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,106,Navy,navy,-8.6,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,107,Kent St,kentst,-8.7,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,108,Buffalo,buffalo,-8.8,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,109,Nevada,nevada,-8.9,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,110,Idaho,idaho,-9.6,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,111,W Michigan,wmichigan,-10.0,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,112,C Michigan,cmichigan,-10.4,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,113,N Texas,ntexas,-10.6,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,114,Middle Tenn,middletenn,-10.7,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,115,UL Monroe,ulmonroe,-11.2,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,116,Louisiana,lalafayette,-12.3,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,117,E Michigan,emichigan,-12.5,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,plays_pg,1,Boise St,boisest,81.4,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,2,Arizona St,arizonast,81.3,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,3,E Michigan,emichigan,81.0,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,4,Texas Tech,texastech,80.5,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,5,Nevada,nevada,79.9,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,6,TCU,tcu,79.1,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,7,Oregon St,oregonst,79.0,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,8,Houston,houston,78.5,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,9,Purdue,purdue,78.2,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,10,Air Force,airforce,78.1,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,11,Oregon,oregon,78.0,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,12,Missouri,missouri,77.5,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,13,C Michigan,cmichigan,77.4,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,14,Rutgers,rutgers,77.1,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,15,Memphis,memphis,77.1,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,16,Michigan,michigan,77.1,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
