season,pfr_name,draft_pick,primary_ppg,position,prospect_model_score,hit3,star3,best_rank3,target_valid
2018,Ito Smith,126,4.843750000000001,RB,4.866302810287665,0,0,51.0,1
2018,Kalen Ballage,131,4.553125,RB,4.581213460243274,0,0,52.0,1
2018,Chase Edmonds,134,7.8375,RB,4.797050958634525,0,0,25.0,1
2018,Jordan Wilkins,169,3.79375,RB,1.98079365395938,0,0,70.0,1
2018,John Kelly,176,0.40625,RB,2.700587253269493,0,0,109.0,1
2018,Boston Scott,201,6.078125,RB,1.743779570403032,0,0,49.0,1
2018,Trenton Cannon,204,1.76875,RB,2.511168986852743,0,0,80.0,1
2018,Bo Scarbrough,236,1.446875,RB,2.829935587557939,0,0,79.0,1
2018,Nick Bawden,237,0.178125,RB,-0.3213259246178959,0,0,126.0,1
2018,Justin Jackson,251,3.95,RB,1.5490981890867912,0,0,69.0,1
2019,Josh Jacobs,24,13.875183823529415,RB,10.710507668064864,1,0,8.0,1
2019,Miles Sanders,53,12.159375,RB,8.519976309786552,0,0,15.0,1
2019,Darrell Henderson,70,8.877757352941178,RB,9.266629006343363,0,0,27.0,1
2019,David Montgomery,73,14.010294117647057,RB,8.072012111965794,1,1,4.0,1
2019,Devin Singletary,74,10.439522058823531,RB,7.258778765425686,0,0,18.0,1
2019,Damien Harris,87,9.032536764705885,RB,7.080898654982089,0,0,14.0,1
2019,Alexander Mattison,102,6.418566176470589,RB,6.8759236512390505,0,0,39.0,1
2019,Bryce Love,112,0.0,RB,3.837375541607217,0,0,,1
2019,Justice Hill,113,1.953125,RB,5.4944077544001,0,0,76.0,1
2019,Benny Snell Jr.,122,4.15,RB,5.736236362140995,0,0,62.0,1
2019,Tony Pollard,128,8.55735294117647,RB,5.754544624563679,0,0,28.0,1
2019,Ryquell Armstead,140,1.9705882352941173,RB,3.740047942579305,0,0,72.0,1
2019,Qadree Ollison,152,1.5387867647058824,RB,2.5664031762396604,0,0,91.0,1
2019,Jordan Scarlett,154,0.028125,RB,3.456508669853216,0,0,145.0,1
2019,Trayveon Williams,182,0.8693014705882354,RB,3.1066510423918645,0,0,103.0,1
2019,Ty Johnson,186,3.3957720588235296,RB,2.663078275499878,0,0,,1
2019,Dexter Williams,194,0.059375,RB,2.521867993982126,0,0,143.0,1
2019,Travis Homer,204,2.842647058823529,RB,3.5886266558420443,0,0,69.0,1
2019,Rodney Anderson,211,0.0,RB,1.4943766641610758,0,0,,1
2019,Darwin Thompson,214,2.0406250000000004,RB,2.208260314562623,0,0,88.0,1
2019,Mike Weber,218,0.0,RB,2.792214905935625,0,0,,1
2019,Cullen Gillaspia,220,0.05,RB,2.0919668320564777,0,0,153.0,1
2019,Kerrith Whyte Jr.,222,0.440625,RB,1.7233821956594473,0,0,108.0,1
2019,Chandler Cox,233,0.090625,RB,1.0737436331372856,0,0,146.0,1
2019,Myles Gaskin,234,10.237132352941176,RB,1.8370421390446343,0,0,25.0,1
2020,Clyde Edwards-Helaire,32,8.958823529411765,RB,9.864596250472566,0,0,22.0,1
2020,D'Andre Swift,35,12.075367647058822,RB,10.294380130144738,0,0,15.0,1
2020,Jonathan Taylor,41,18.873529411764707,RB,10.697720897976431,1,1,1.0,1
2020,Cam Akers,52,7.337132352941177,RB,9.335432989713858,0,0,35.0,1
2020,J.K. Dobbins,55,7.653860294117647,RB,8.620097082036878,0,0,24.0,1
2020,AJ Dillon,62,10.388235294117647,RB,8.777264275309498,0,0,23.0,1
2020,Antonio Gibson,66,13.056985294117649,RB,8.008758346177409,1,0,10.0,1
2020,Ke'Shawn Vaughn,76,1.8045955882352944,RB,8.22565422118079,0,0,90.0,1
2020,Zack Moss,86,6.269117647058824,RB,7.531484120494651,0,0,46.0,1
2020,Darrynton Evans,93,0.8178308823529412,RB,7.342868413822418,0,0,119.0,1
2020,Joshua Kelley,112,4.443382352941176,RB,5.827570087818824,0,0,60.0,1
2020,La'Mical Perine,120,1.731801470588235,RB,4.330719305052361,0,0,78.0,1
2020,Anthony McFarland Jr.,124,0.8887867647058824,RB,5.528960950838416,0,0,101.0,1
2020,DeeJay Dallas,144,3.545772058823529,RB,3.7535784319774153,0,0,71.0,1
2020,Jason Huntley,172,0.240625,RB,3.890098355193084,0,0,139.0,1
2020,Eno Benjamin,222,3.458823529411765,RB,1.6247953503391843,0,0,50.0,1
2020,Raymond Calais,245,0.0,RB,1.4868982623746607,0,0,164.0,1
2020,Malcolm Perry,246,0.771875,RB,3.5661716527372653,0,0,99.0,1
2021,Najee Harris,24,15.47529411764706,RB,10.653913096701489,1,1,3.0,1
2021,Travis Etienne,25,14.338235294117649,RB,12.52784589687358,1,1,3.0,1
2021,Javonte Williams,35,11.297058823529412,RB,10.045983908463723,0,0,17.0,1
2021,Trey Sermon,88,1.4294117647058824,RB,8.116502099831914,0,0,92.0,1
2021,Michael Carter,107,8.247058823529413,RB,5.10990419901808,0,0,29.0,1
2021,Kene Nwangwu,119,1.0147058823529411,RB,3.856517156672224,0,0,105.0,1
2021,Rhamondre Stevenson,120,11.611764705882354,RB,4.233139583147931,1,0,7.0,1
2021,Chuba Hubbard,126,9.41470588235294,RB,3.978423066027719,0,0,27.0,1
2021,Kenneth Gainwell,150,6.4935294117647056,RB,4.089099592426392,0,0,41.0,1
2021,Ben Mason,184,0.0,RB,-1.4120536001981376,0,0,,1
2021,Elijah Mitchell,194,6.25,RB,2.889281425043116,0,0,26.0,1
2021,Gary Brightwell,196,1.1941176470588233,RB,1.21924527468586,0,0,93.0,1
2021,Larry Rountree III,198,0.6147058823529412,RB,2.815986851142422,0,0,116.0,1
2021,Chris Evans,202,1.8411764705882352,RB,2.544132889891503,0,0,82.0,1
2021,Demetric Felton,211,1.5558823529411767,RB,1.5778617277425628,0,0,79.0,1
2021,Khalil Herbert,217,6.773529411764706,RB,2.827274816153821,0,0,41.0,1
2021,Jake Funk,233,0.1088235294117647,RB,1.929609394057049,0,0,130.0,1
2021,Gerrid Doaks,244,0.0,RB,1.4673811917996096,0,0,,1
2021,Kylin Hill,256,0.1352941176470588,RB,0.5986233304660655,0,0,146.0,1
2021,Jermar Jefferson,257,0.7558823529411764,RB,1.587578295356558,0,0,102.0,1
2022,Breece Hall,36,15.629411764705884,RB,10.712754150607427,1,1,2.0,1
2022,Kenneth Walker,41,11.820588235294116,RB,9.892203522568158,0,0,18.0,1
2022,James Cook,63,14.688235294117648,RB,8.587204809061195,1,0,8.0,1
