season,position,position_year_rank,position_2023_2026_rank,overall_2023_2026_rank,pfr_name,draft_team,draft_round,draft_pick,prospect_model_score,prospect_model_percentile,hit_probability,primary_ppg_realized,college_match,fuzzy_match,scout_boost
2024,TE,4,19,80,Ja'Tavion Sanders,CAR,4,101.0,3.8660569876703574,66.8103448275862,0.15568824112415314,,1.0,0.0,-0.1563233807336868
2024,TE,5,20,88,Cade Stover,HOU,4,123.0,3.6481168056441673,62.93103448275862,0.1075211763381958,,1.0,0.0,-1.027714852686295
2026,TE,8,21,91,Nate Boerkircher,JAX,2,56.0,3.618462663819024,62.06896551724138,0.2198312133550644,,1.0,0.0,1.2234354459581045
2026,TE,9,22,100,Oscar Delp,NOR,3,73.0,3.3962940802684702,57.327586206896555,0.13753625750541687,,1.0,0.0,0.6569710811174243
2026,TE,10,23,104,Matthew Hibner,BAL,4,133.0,3.305785028753923,56.03448275862068,0.06242579221725464,,1.0,0.0,-0.6962461322034565
2024,TE,6,24,108,Theo Johnson,NYG,4,107.0,3.2029408105497437,53.44827586206896,0.04491792619228363,,1.0,0.0,0.1558764225836908
2024,TE,7,25,115,AJ Barner,SEA,4,121.0,3.0379445513050816,50.43103448275862,0.04862263426184654,,1.0,0.0,0.1179791792590485
2026,TE,11,26,116,Justin Joly,DEN,5,152.0,3.0606238619704866,50.43103448275862,0.07461297512054443,,1.0,0.0,-0.4268310187993656
2026,TE,12,27,117,Will Kacmarek,MIA,3,87.0,2.96991387449152,50.0,0.07333890348672867,,1.0,0.0,0.7965486428209001
2023,TE,9,28,119,Darnell Washington,PIT,3,,2.7866233192997463,48.706896551724135,,3.4823529411764707,1.0,0.0,0.3523664799122468
2024,TE,8,29,120,Jared Wiley,KC,4,131.0,2.907883133158856,48.706896551724135,0.042495135217905045,,1.0,0.0,-0.6155771696685219
2026,TE,13,30,124,Seydou Traore,MIA,5,180.0,2.6449425848422115,45.258620689655174,0.06051355600357056,,1.0,0.0,-0.5093820355513365
2026,TE,14,31,129,Bauer Sharp,TAM,6,185.0,2.5552164276065894,41.37931034482759,0.08662431687116623,,1.0,0.0,-0.4969538071591479
2024,TE,9,32,131,Erick All,CIN,4,115.0,2.5257047599844125,40.51724137931034,0.04056447744369507,,1.0,0.0,-0.3683959263585308
2026,TE,15,33,143,Josh Cuevas,BAL,5,173.0,2.106412673386953,33.62068965517241,0.03382578864693642,,1.0,0.0,-0.137376147546786
2024,TE,10,34,149,Tanner McLachlan,CIN,6,194.0,1.9010527535705433,31.03448275862069,0.11824101954698563,,1.0,0.0,-0.5297570135803351
2026,TE,16,35,150,Joe Royer,CLE,5,170.0,1.8771893180701764,30.603448275862068,0.040831033140420914,,1.0,0.0,-1.0763893554954649
2026,TE,17,36,152,Riley Nowakowski,PIT,5,169.0,1.7077233299791372,27.586206896551722,0.03000585176050663,,1.0,0.0,-0.5078091347927085
2026,TE,18,37,161,Max Bredeson,MIN,5,159.0,1.4130097379933917,21.551724137931032,0.023827891796827316,,1.0,0.0,0.4438973772434922
2026,TE,19,38,175,Carsen Ryan,CLE,7,248.0,0.6644573505958324,10.344827586206897,0.026075944304466248,,1.0,0.0,-0.1910885974273419
2026,TE,20,39,179,Dallen Bentley,DEN,7,256.0,0.5346043039272815,7.758620689655173,0.03828563168644905,,1.0,0.0,-1.0257894489953543
2026,TE,21,40,182,Jaren Kanak,TEN,7,225.0,0.47741662863659445,5.603448275862069,0.11505647003650665,,1.0,0.0,-0.8729500222114339
2024,TE,11,41,187,Jaheim Bell,NE,7,231.0,0.4397002957231843,3.0172413793103448,0.030915657058358192,,1.0,0.0,-0.4521235021608243
2024,TE,12,42,188,Devin Culp,TB,7,246.0,0.389968308404947,1.7241379310344827,0.037575289607048035,,1.0,0.0,-0.3604425856350701
