season,position,position_year_rank,position_2023_2026_rank,overall_2023_2026_rank,pfr_name,draft_team,draft_round,draft_pick,prospect_model_score,prospect_model_percentile,hit_probability,primary_ppg_realized,college_match,fuzzy_match,scout_boost
2026,RB,7,25,132,Emmett Johnson,KAN,5,161.0,3.4315610934910166,40.48257372654155,0.04804985970258713,,1.0,0.0,-0.5462537332012927
2024,RB,12,26,136,Keilan Robinson,JAX,5,167.0,3.369240716965081,39.67828418230563,0.03573444485664368,,1.0,0.0,-0.140552376530243
2026,RB,8,27,138,Demond Claiborne,MIN,6,198.0,2.995577286247344,36.193029490616624,0.03680477663874626,,1.0,0.0,-0.5014008286743366
2026,RB,9,28,140,Adam Randall,BAL,5,174.0,2.9338903477650433,34.852546916890084,0.041186507791280746,,1.0,0.0,0.1145210007759622
2024,RB,13,29,142,Tyrone Tracy,NYG,5,166.0,2.879084632623257,34.048257372654156,0.035492364317178726,,1.0,0.0,0.1547490816336969
2026,RB,10,30,144,Nicholas Singleton,TEN,5,165.0,2.7933267426359487,32.975871313672926,0.038926564157009125,,1.0,0.0,-0.6910917586677217
2024,RB,14,31,148,Rasheen Ali,BAL,5,165.0,2.741297733895091,31.099195710455763,0.064888596534729,,1.0,0.0,0.7267711473483747
2024,RB,15,32,151,Dylan Laube,LV,6,208.0,2.5591028716894555,28.686327077747993,0.032626643776893616,,0.0,0.0,-0.1137798683393844
2024,RB,17,33,154,Kimani Vidal,LAC,6,181.0,2.4020846012030486,26.80965147453083,0.03048597276210785,,1.0,0.0,-0.3101908478716728
2024,RB,16,34,155,Jawhar Jordan,HOU,6,205.0,2.4402322116924857,26.80965147453083,0.07139559835195541,,1.0,0.0,-0.0683565490941768
2026,RB,11,35,162,Kaytron Allen,WAS,6,187.0,1.863826677397292,19.571045576407506,0.022278431802988052,,1.0,0.0,-0.8732728495621966
2026,RB,12,36,166,Seth McGowan,IND,7,237.0,1.6407759509443278,16.890080428954423,0.06139019876718521,,1.0,0.0,-0.7922354631268842
2024,RB,18,37,180,Jase McClellan,ATL,6,186.0,0.7405910655759647,6.166219839142091,0.04722932353615761,,1.0,0.0,-0.6268731945533474
2024,RB,19,38,181,Isaiah Davis,NYJ,5,173.0,0.6849964070268311,5.630026809651475,0.017667289823293686,,1.0,0.0,2.377129276410604
2026,RB,13,39,185,Jam Miller,NWE,7,245.0,0.5676106526524607,4.557640750670242,0.02254621870815754,,1.0,0.0,-0.5000508015513407
