position,model,eligible,n,mae,rmse,pearson,weekly_spearman,top1,top3,top5
DST,ridge_qb_h18_a100_centered0.5,False,1086,4.029693638728108,5.287826008981748,0.2552332874122778,0.25365845101792667,7.777777777777778,8.574074074074074,8.455555555555556
DST,ridge_qb_h18_a100_centered1.0,False,1086,4.05591204302527,5.305136637157054,0.2443082691223187,0.23921829567070269,8.777777777777779,8.26851851851852,8.28888888888889
DST,ridge_qb_h18_a1000_centered0.5,False,1086,4.021705445591034,5.2886802505460535,0.2549716528405414,0.25249486393863807,7.861111111111111,8.472222222222223,8.56666666666667
DST,ridge_qb_h18_a1000_centered1.0,False,1086,4.02714093941394,5.291295808413764,0.2527610587416468,0.2545464425768316,7.888888888888889,8.537037037037038,8.500000000000002
DST,ridge_qb_h54_a100_centered0.5,False,1086,4.026449253609179,5.285483395063305,0.2565698497622409,0.2548279078309288,7.583333333333333,8.61111111111111,8.538888888888891
DST,ridge_qb_h54_a100_centered1.0,False,1086,4.0480872606034435,5.299816205285707,0.24721336903990163,0.24347312056858167,8.63888888888889,8.62962962962963,8.416666666666668
DST,ridge_qb_h54_a1000_centered0.5,False,1086,4.020919643808139,5.287224226167391,0.2557459766078304,0.2552617655826896,7.861111111111111,8.472222222222223,8.477777777777781
DST,ridge_qb_h54_a1000_centered1.0,False,1086,4.025800979490729,5.289216286398839,0.25389693990418816,0.2569787517300964,7.888888888888889,8.712962962962964,8.511111111111113
DST,ridge_compact_h18_a100_centered0.5,False,1086,4.019076956147643,5.2935471995321794,0.2516856682635287,0.2534235984920752,8.333333333333334,8.398148148148149,8.2
DST,ridge_compact_h18_a100_centered1.0,False,1086,4.029915626530045,5.308336589316516,0.24183108972304754,0.2493705730547,8.222222222222221,8.527777777777779,8.066666666666666
DST,ridge_compact_h18_a1000_centered0.5,False,1086,4.018047657671217,5.289366269122053,0.2545879500949354,0.24887869087829717,8.055555555555555,8.462962962962964,8.461111111111112
DST,ridge_compact_h18_a1000_centered1.0,False,1086,4.01956623951746,5.291708358956437,0.25252825640073423,0.25495780485577924,8.305555555555555,8.324074074074074,8.444444444444445
