season,position,position_year_rank,position_2023_2026_rank,overall_percentile_rank_2023_2026,pfr_name,draft_team,draft_round,draft_pick,prospect_model_score,prospect_model_percentile,hit_probability,primary_ppg_realized,college_match,fuzzy_match,scout_boost
2026,WR,16,61,145,Chris Brazzell II,CAR,3,83,4.119425413400209,56.19047619047619,0.1873580813407898,,1.0,0.0,0.0278125984344068
2023,WR,12,62,147,Jalin Hyatt,NYG,3,,4.0752542624549815,55.80952380952381,,2.191176470588235,1.0,0.0,-0.2198853648703789
2026,WR,17,63,149,Ja'Kobi Lane,BAL,3,80,3.99235551770708,55.42857142857143,0.062368351966142654,,1.0,0.0,-0.0172370930348382
2025,WR,17,64,150,Elic Ayomanor,TEN,4,136,3.942121104691873,54.85714285714286,0.13841248,,1.0,0.0,0.7880980219470324
2026,WR,18,65,153,Zachariah Branch,ATL,3,79,3.7836753223789485,52.19047619047619,0.08371776342391968,,1.0,0.0,-0.475709279790637
2024,WR,19,66,157,Javon Baker,NE,4,110,3.7364422805789035,51.61904761904762,0.03533104807138443,,1.0,0.0,-0.2567736695748035
2026,WR,19,67,158,Reggie Virgil,ARI,5,143,3.6164644365246073,50.857142857142854,0.025214891880750656,,1.0,0.0,-0.1653648159069014
2024,WR,20,68,159,Anthony Gould,IND,5,142,3.58537599114646,50.476190476190474,0.015176628716289997,,1.0,0.0,-0.3118496534213673
2025,WR,18,69,165,Arian Smith,NYJ,4,110,3.5095891939275727,48.76190476190476,0.02601527,,1.0,0.0,-0.271144873782327
2025,WR,19,70,174,Savion Williams,GNB,3,87,3.3671416431572605,45.714285714285715,0.04111033,,1.0,0.0,-0.1103677816658184
2023,WR,13,71,177,Michael Wilson,ARI,3,,3.2334131855242094,43.42857142857143,,10.15,1.0,0.0,0.5711864768386361
2024,WR,21,72,178,Devontez Walker,BAL,4,113,3.2293222769107635,43.238095238095234,0.061416372656822205,,1.0,0.0,0.2773903935856774
2026,WR,20,73,179,Kendrick Law,DET,5,168,3.1763659176170465,42.857142857142854,0.017434176057577133,,1.0,0.0,-0.1726893166040595
2025,WR,20,74,179,Chimere Dike,TEN,4,103,3.1659223056722676,42.857142857142854,0.058447495,,1.0,0.0,0.4448511973124223
2024,WR,22,75,182,Jamari Thrash,CLE,5,156,3.1489865299869955,42.095238095238095,0.026089057326316833,,1.0,0.0,0.0219303416397833
2026,WR,21,76,185,Bryce Lance,NOR,4,136,3.0266134433773506,40.76190476190476,0.028879662975668907,,0.0,0.0,0.0640678415233724
2026,WR,22,77,188,Emmanuel Henderson Jr.,SEA,6,199,2.978181425320128,40.38095238095238,0.022592859342694283,,1.0,0.0,-0.7190690614345652
2026,WR,23,78,189,Kevin Coleman Jr.,MIA,5,177,2.955727631677674,39.80952380952381,0.049215834587812424,,1.0,0.0,-0.6732539082216791
2026,WR,24,79,193,Kaden Wetjen,PIT,4,121,2.8633279101640676,38.095238095238095,0.019906414672732353,,1.0,0.0,-0.7092706813543943
2026,WR,25,80,195,Skyler Bell,BUF,4,125,2.776019068127253,35.80952380952381,0.018285328522324562,,1.0,0.0,-0.7622288549497824
2024,WR,23,81,201,Ainias Smith,PHI,5,152,2.510651739320729,31.428571428571427,0.03973683342337608,,1.0,0.0,-0.3546763728948772
2026,WR,26,82,201,Zavion Thomas,CHI,3,89,2.509102265906362,31.428571428571427,0.09007555991411209,,1.0,0.0,0.0602638314048622
2025,WR,21,83,209,Jaylin Lane,WAS,4,128,2.355125596613643,29.523809523809526,0.037105713,,1.0,0.0,0.9716081801207954
2025,WR,22,84,214,LaJohntay Wester,BAL,6,203,2.286727022934172,28.19047619047619,0.041982435,,1.0,0.0,-0.38190333356146855
2026,WR,27,85,216,Cyrus Allen,KAN,5,176,2.215292807706417,26.857142857142858,0.026656854897737503,,1.0,0.0,-0.4407430133115673
2025,WR,23,86,219,KeAndre Lambert-Smith,LAC,5,158,2.151692737469989,25.9047619047619,0.037866153,,1.0,0.0,0.36764925109007773
2025,WR,24,87,219,Ricky White,SEA,7,238,2.1468449990829646,25.9047619047619,0.0752475,,1.0,0.0,-0.642548470510488
2026,WR,28,88,221,Colbie Young,CIN,4,140,2.1208277613545428,25.71428571428571,0.04299013689160347,,1.0,0.0,0.8763541990263155
2024,WR,24,89,223,Bub Means,NO,5,170,2.114784733018208,25.523809523809526,0.02652827650308609,,1.0,0.0,-0.8664384545930872
2026,WR,29,90,226,Barion Brown,NOR,6,190,2.0607128615196078,24.38095238095238,0.04491123929619789,,1.0,0.0,-0.5498668034679923
2023,WR,14,91,227,Tre Tucker,LV,3,,2.013212523259304,23.61904761904762,,8.558823529411764,1.0,0.0,0.6044972821299712
2025,WR,25,92,229,Jordan Watkins,SFO,4,138,1.9079644746648656,21.714285714285715,0.023617418,,1.0,0.0,-0.4210517950674353
