position,name,eligible,n,mae,rmse,pearson,weekly_spearman,top1,top3,top5
DST,cat2_base@0.25,False,1630,4.115398760669963,5.348706937325713,0.2670498999905119,0.25388414266530884,9.0,8.672839506172838,8.596296296296297
DST,cat2_base@0.5,False,1630,4.1298737062182065,5.35022776781964,0.263760354362494,0.24662920611853636,9.25925925925926,8.487654320987653,8.61111111111111
DST,cat2_base@0.75,False,1630,4.152155106321566,5.358760792028813,0.2570302149124008,0.24150355812786092,9.38888888888889,8.62962962962963,8.703703703703702
DST,cat2_base@1.0,False,1630,4.180792814389627,5.374272609135777,0.24703047869877595,0.2279115300346458,9.62962962962963,8.919753086419755,8.540740740740741
DST,cat2_extended@0.25,False,1630,4.1146028480089685,5.346690683082481,0.26834523714919284,0.25368496229942566,9.481481481481481,8.796296296296296,8.655555555555555
DST,cat2_extended@0.5,False,1630,4.128718122099966,5.346140151251237,0.26637065020347944,0.24751956591737767,9.537037037037036,8.820987654320987,8.944444444444445
DST,cat2_extended@0.75,False,1630,4.149607560262717,5.352554828911866,0.26084191449270094,0.24441078855642542,10.481481481481481,9.030864197530864,8.900000000000002
DST,cat2_extended@1.0,False,1630,4.178374439916333,5.3659097364400745,0.25180687674757823,0.22904354585007017,9.851851851851851,9.092592592592593,8.45925925925926
DST,cat4_base@0.25,False,1630,4.113317027193276,5.3489848953849455,0.2668741216008328,0.2564168157943205,9.074074074074074,8.604938271604938,8.61111111111111
DST,cat4_base@0.5,False,1630,4.127256178060999,5.350649911752613,0.26347282691727913,0.2480881929553826,9.518518518518519,8.734567901234568,8.766666666666666
DST,cat4_base@0.75,False,1630,4.148915482567061,5.359192908356143,0.2566748055649511,0.24139332045381365,9.87037037037037,8.925925925925926,8.822222222222223
DST,cat4_base@1.0,False,1630,4.1767010467271,5.3745810872630715,0.24661771273511696,0.23321905094291948,9.166666666666666,8.833333333333334,8.55925925925926
DST,cat4_extended@0.25,False,1630,4.1126067861752995,5.3463868079613555,0.268523421687136,0.25369379108880735,9.296296296296296,8.549382716049381,8.700000000000001
DST,cat4_extended@0.5,False,1630,4.125102661305325,5.345793704543974,0.2665832233832105,0.2520711225454532,8.592592592592593,8.777777777777777,9.044444444444444
DST,cat4_extended@0.75,False,1630,4.146621692576947,5.352427367216228,0.2609134043597612,0.2440705445490925,8.75925925925926,9.203703703703704,8.940740740740742
DST,cat4_extended@1.0,False,1630,4.174297349009623,5.366260995301381,0.2515682499638867,0.2333167133566382,7.703703703703703,9.061728395061728,8.799999999999999
DST,cat6_base@0.25,False,1630,4.114644475877995,5.348811555241833,0.2667091936360173,0.2541783851047771,9.092592592592593,8.487654320987655,8.5
DST,cat6_base@0.5,False,1630,4.128663775059817,5.350789610097397,0.26296253108662593,0.2452303226070019,8.296296296296296,8.530864197530864,8.585185185185185
DST,cat6_base@0.75,False,1630,4.150985963891549,5.360130280304949,0.2555493215802589,0.23947075393869685,8.833333333333334,8.672839506172838,8.277777777777779
DST,cat6_base@1.0,False,1630,4.179918373486358,5.376795194577883,0.244565864004506,0.23086320646959116,9.018518518518519,8.345679012345679,8.292592592592593
DST,cat6_extended@0.25,False,1630,4.115863165220404,5.347280065937971,0.26770370993965265,0.2576186333611805,9.24074074074074,8.641975308641975,8.522222222222222
DST,cat6_extended@0.5,False,1630,4.131977413441142,5.347724186352156,0.2649517019419235,0.2505472938018648,9.222222222222221,8.950617283950617,9.02962962962963
DST,cat6_extended@0.75,False,1630,4.15508650636873,5.355534804002646,0.25841793831124166,0.24102628986109667,8.148148148148149,9.061728395061728,8.914814814814815
DST,cat6_extended@1.0,False,1630,4.182709852766259,5.3706797795382535,0.24809279832076495,0.2284942756511718,9.074074074074074,9.080246913580247,8.585185185185184
DST,hist_base@0.25,False,1630,4.108048820959668,5.345909803249178,0.2694357501826129,0.25567133591458124,8.518518518518519,8.592592592592593,8.681481481481482
DST,hist_base@0.5,False,1630,4.11729442910389,5.345149108736732,0.2680757184212415,0.2523761882800115,8.092592592592593,8.62962962962963,8.781481481481482
DST,hist_base@0.75,False,1630,4.135210526170578,5.351925404766883,0.26297974796572465,0.2458365317583178,8.24074074074074,8.660493827160494,8.65925925925926
DST,hist_base@1.0,False,1630,4.158933833365231,5.366210138930074,0.2545532912791186,0.23673096608334745,9.037037037037036,8.58641975308642,8.54814814814815
DST,hist_extended@0.25,False,1630,4.113501240377873,5.348564454014407,0.267849530416823,0.25365260529168066,9.203703703703704,8.549382716049383,8.366666666666667
DST,hist_extended@0.5,False,1630,4.1299878925811235,5.350816227097349,0.2646492301630048,0.24880651240023471,9.018518518518519,8.592592592592593,8.500000000000002
DST,hist_extended@0.75,False,1630,4.1528582807441685,5.360949650947538,0.25746334172144053,0.23930569210319436,9.61111111111111,8.641975308641976,8.285185185185185
DST,hist_extended@1.0,False,1630,4.181054665879127,5.3789201806891604,0.24676993445811748,0.2281737015651973,9.925925925925926,8.814814814814815,8.374074074074073
DST,ridge100_recent@0.25,False,1630,4.135987138317533,5.370335704907217,0.25570845222446725,0.2518727135428986,8.666666666666666,8.302469135802468,8.207407407407407
DST,ridge100_recent@0.5,False,1630,4.185637463609744,5.412162099830735,0.23323278273261697,0.23125458746792515,9.092592592592593,8.123456790123456,8.051851851851852
DST,ridge100_recent@0.75,False,1630,4.255766074144966,5.479095040429376,0.20510731667494103,0.2026951939539562,9.11111111111111,8.179012345679013,7.833333333333332
DST,ridge100_recent@1.0,False,1630,4.344752091313427,5.5702295450943415,0.17655628686831212,0.17591910433666913,8.962962962962964,8.067901234567902,7.592592592592592
DST,cat4_recent@0.25,False,1630,4.11729197873401,5.34974941673866,0.2664842638601713,0.2507662718367655,8.962962962962964,8.395061728395062,8.644444444444446
DST,cat4_recent@0.5,False,1630,4.135656334570362,5.353606647566636,0.2617540602308287,0.24131365456267617,8.722222222222221,8.845679012345679,8.777777777777777
DST,cat4_recent@0.75,False,1630,4.1633676345189095,5.3657580426861475,0.25249198130206546,0.22824538269586353,8.74074074074074,9.074074074074073,8.481481481481481
DST,cat4_recent@1.0,False,1630,4.198900922654674,5.386147466347336,0.23890341098601164,0.21516889935712075,7.833333333333333,8.759259259259258,8.11111111111111
DST,extra40_recent@0.25,False,1630,4.114700915842212,5.3482584264922854,0.2669138775265697,0.2550251574605105,9.24074074074074,8.716049382716049,8.603703703703705
DST,extra40_recent@0.5,False,1630,4.127398682641184,5.348505495096943,0.26419386833853387,0.2459917569494157,9.351851851851851,8.555555555555555,8.611111111111112
DST,extra40_recent@0.75,False,1630,4.145830218790691,5.354944624488503,0.25830702061565197,0.24227994806827355,8.722222222222221,8.685185185185185,8.72962962962963
DST,extra40_recent@1.0,False,1630,4.169501280743589,5.367553529990558,0.24878522344774592,0.2327774441619354,8.38888888888889,8.78395061728395,8.670370370370373
DST,rare_shrink0.5@0.25,True,1630,4.105796307176273,5.353200579574096,0.26731104508748943,0.2588090407189425,9.296296296296296,8.641975308641976,8.551851851851852
DST,rare_shrink0.5@0.5,True,1630,4.105500800581415,5.352290670055793,0.26749222404848155,0.25811276314575615,9.074074074074074,8.666666666666666,8.54814814814815
DST,rare_shrink0.5@0.75,True,1630,4.105249433033363,5.351474595153238,0.26764759686598605,0.25896791777772604,9.037037037037036,8.666666666666666,8.596296296296297
DST,rare_shrink0.5@1.0,True,1630,4.105047002954556,5.350752397800248,0.2677756193924358,0.2589734745993074,9.185185185185185,8.641975308641976,8.574074074074074
DST,rare_shrink1.0@0.25,True,1630,4.105500800581415,5.352290670055793,0.26749222404848155,0.25811276314575615,9.074074074074074,8.666666666666666,8.54814814814815
DST,rare_shrink1.0@0.5,True,1630,4.105047002954556,5.350752397800248,0.2677756193924359,0.2589734745993074,9.185185185185185,8.641975308641976,8.574074074074074
DST,rare_shrink1.0@0.75,True,1630,4.1048789547633096,5.349589782882923,0.2679431493811061,0.25852151655759237,9.185185185185185,8.679012345679013,8.562962962962963
DST,rare_shrink1.0@1.0,False,1630,4.1048648099777925,5.348803070262269,0.2679813152582945,0.2574292922981679,8.944444444444445,8.518518518518519,8.525925925925925
DST,rounded_pa@0.25,True,1630,4.108854907923441,5.35243618678033,0.2671121838228038,0.25753798542242,9.38888888888889,8.574074074074074,8.511111111111111
DST,rounded_pa@0.5,False,1630,4.111687850826535,5.35083307973086,0.26711868688094387,0.25761190591868666,9.38888888888889,8.574074074074074,8.551851851851852
DST,rounded_pa@0.75,False,1630,4.11463156607085,5.349395103045615,0.26712505712069096,0.2578277257295126,9.38888888888889,8.574074074074074,8.511111111111113
