position,year,model,n,mae,rmse,pearson,weekly_spearman,top1,top3,top5
DST,2023,ridge10_base,544,4.361448824235723,5.6449768641227696,0.22667609759139287,0.22743968420383506,9.5,8.759259223937988,8.877778053283691
DST,2023,ridge10_extended,544,4.433210570103069,5.711187026948944,0.20634653662969912,0.21197347602861816,7.5,8.407407760620117,8.077777862548828
DST,2023,ridge100_base,544,4.34213429078838,5.631558884092163,0.2311411107969508,0.22878296123611028,8.94444465637207,8.759259223937988,8.577777862548828
DST,2023,ridge100_extended,544,4.372111536399063,5.655050409904369,0.2226602375610401,0.2310887525785487,6.833333492279053,8.277777671813965,8.200000762939453
DST,2023,ridge1000_base,544,4.297826753885414,5.600361829888918,0.24301124888662096,0.2558961486856028,8.0,9.148148536682129,8.733333587646484
DST,2023,ridge1000_extended,544,4.307781813477555,5.601115440477715,0.24235079718963334,0.2525768231163355,7.833333492279053,8.962963104248047,8.588889122009277
DST,2023,bayes_base,544,4.293761657188317,5.597602552562315,0.24424991132937945,0.2585960487695449,9.0,9.185185432434082,8.933333396911621
DST,2023,bayes_extended,544,4.295094768462834,5.59469375372733,0.24495515288514416,0.25104869576710875,8.44444465637207,8.833333969116211,8.744444847106934
DST,2023,extra16_base,544,4.293325834305854,5.571252328976581,0.25970988408682993,0.27682445162514546,8.5,8.722221374511719,9.177777290344238
DST,2023,extra16_extended,544,4.283436988845075,5.560001233951095,0.2687289555076164,0.27729006747265944,9.777777671813965,9.407407760620117,9.200000762939453
DST,2023,extra40_base,544,4.312804809663627,5.573477351467841,0.25760143570130095,0.2619154120392089,9.61111068725586,8.61111068725586,9.088889122009277
DST,2023,extra40_extended,544,4.295644730852786,5.5619350004493935,0.26659085482943573,0.2639760665448436,9.333333015441895,9.240740776062012,8.700000762939453
DST,2023,cat2_base,544,4.31712426650779,5.580850585510329,0.2519814917566586,0.2452340968407765,9.55555534362793,8.94444465637207,8.933333396911621
DST,2023,cat2_extended,544,4.309050841223091,5.582363028589818,0.2513878153577703,0.23484537860495497,9.5,9.722222328186035,9.311111450195312
