position,rank,pfr_name,prospect_model_percentile,outcome_percentile,prospect_percentile_reference_n,draft_team,draft_round,draft_pick,pred_best2of3_ppg,pred_peak3_ppg,pred_rookie_ppg,pred_avg3_ppg,pred_total3_ppr,pred80_low,pred80_high,pred90_low,pred90_high,hit_probability,college_match,fuzzy_match,scout_boost,percentile_bucket,historical_bucket_n,historical_hit_rate,historical_hit_rate_ci_low,historical_hit_rate_ci_high,historical_star_rate,historical_star_rate_ci_low,historical_star_rate_ci_high,historical_bucket_mean_primary_ppg
RB,9,Adam Randall,34.852546916890084,50.59952038369304,373,BAL,5,174,2.933890347765044,4.019249989967157,3.0643300092331893,2.1099034041902143,101.23842551481148,0.0,7.574064533897549,0.0,9.24938326228115,0.041186508,1.0,0.0,0.1145210007759622,20-40,75,0.02666666666666667,0.00734353502360055,0.09211664843284882,0.0,0.0,0.04872554590470005,2.525513725490196
RB,10,Nicholas Singleton,32.975871313672926,49.40047961630695,373,TEN,5,165,2.7933267426359496,3.510577824958857,1.9765811713264472,2.177245695042969,106.37854161048048,0.0,7.433500928768455,0.0,9.108819657152054,0.038926564,1.0,0.0,-0.6910917586677217,20-40,75,0.02666666666666667,0.00734353502360055,0.09211664843284882,0.0,0.0,0.04872554590470005,2.525513725490196
RB,11,Kaytron Allen,19.571045576407503,42.44604316546763,373,WAS,6,187,1.863826677397293,2.395179120142865,1.6373579723469749,1.4829042575258984,72.84926943109534,0.0,6.504000863529798,0.0,8.179319591913398,0.022278432,1.0,0.0,-0.8732728495621966,0-20,74,0.04054054054054054,0.01388217957959554,0.1125489318055764,0.013513513513513514,0.0023894018749393217,0.07265530429759565,1.58100009936407
RB,12,Seth McGowan,16.890080428954423,38.36930455635492,373,IND,7,237,1.6407759509443296,2.0375957094377246,1.2259749817453898,1.3240031603358955,65.33811357982583,0.0,6.280950137076834,0.0,7.956268865460434,0.0613902,1.0,0.0,-0.7922354631268842,0-20,74,0.04054054054054054,0.01388217957959554,0.1125489318055764,0.013513513513513514,0.0023894018749393217,0.07265530429759565,1.58100009936407
RB,13,Jam Miller,4.557640750670242,25.65947242206235,373,NWE,7,245,0.5676106526524607,1.0337286759981643,0.136753503152438,0.2385945377421499,12.760482132950033,0.0,5.207784838784965,0.0,6.883103567168565,0.022546219,1.0,0.0,-0.5000508015513407,0-20,74,0.04054054054054054,0.01388217957959554,0.1125489318055764,0.013513513513513514,0.0023894018749393217,0.07265530429759565,1.58100009936407
WR,1,Carnell Tate,94.0952380952381,83.95904436860067,525,TEN,1,4,10.396023701730696,11.659741475590238,7.77318871598639,8.661421952428185,419.92369931972775,4.884479586084439,15.907567817376954,3.5701456660164137,17.22190173744498,0.56791365,1.0,0.0,2.4313149037892225,90-95,26,0.46153846153846156,0.28755582695234905,0.6454236379556988,0.3076923076923077,0.16501120939792674,0.49988611514231246,9.713567590497737
WR,2,Makai Lemon,93.33333333333331,83.78839590443687,525,PHI,1,20,10.264735414915965,11.670019860444173,6.664001407062825,8.386158410587635,426.67331619047593,4.753191299269708,15.77627953056222,3.438857379201682,17.090613450630247,0.579592,1.0,0.0,0.9161786334048196,90-95,26,0.46153846153846156,0.28755582695234905,0.6454236379556988,0.3076923076923077,0.16501120939792674,0.49988611514231246,9.713567590497737
WR,3,KC Concepcion,91.8095238095238,82.93515358361775,525,CLE,1,24,9.917473993347349,11.430519609843932,7.826244266956775,8.733791637071297,441.743832244898,4.405929877701092,15.429018108993606,3.091595957633066,16.743352029061633,0.6734994,1.0,0.0,1.064641962652487,90-95,26,0.46153846153846156,0.28755582695234905,0.6454236379556988,0.3076923076923077,0.16501120939792674,0.49988611514231246,9.713567590497737
WR,4,Denzel Boston,86.28571428571429,78.32764505119454,525,CLE,2,39,8.742896696928765,10.301855230592238,7.981258727991189,7.129661064474502,345.5974325170068,3.231352581282509,14.254440812575025,1.9170186612144828,15.568774732643048,0.40082595,1.0,0.0,0.7029098576219042,80-90,52,0.2692307692307692,0.1676881003582587,0.4025247875246099,0.17307692307692307,0.0938236875646778,0.29731123693605277,8.472018523755658
WR,5,De'Zhaun Stribling,78.85714285714286,73.37883959044369,525,SFO,2,33,7.555284829556821,8.9290643935074,7.320275704781904,6.081385092749754,316.76684673469373,2.043740713910564,13.066828945203078,0.7294067938425384,14.381162865271104,0.14852121,1.0,0.0,1.8199351454025403,60-80,105,0.22857142857142856,0.1586828389252159,0.3176203392713559,0.1523809523809524,0.09602582280126758,0.233274738748728,6.9012184873949565
WR,6,Jordyn Tyson,77.71428571428571,72.52559726962457,525,NOR,1,8,7.351202510004006,7.7911459793917635,6.23157775910364,6.528365691096578,326.4475159183671,1.8396583943577487,12.862746625650264,0.5253244742897234,14.177080545718288,0.29179865,1.0,0.0,2.1556648854031937,60-80,105,0.22857142857142856,0.1586828389252159,0.3176203392713559,0.1523809523809524,0.09602582280126758,0.233274738748728,6.9012184873949565
WR,7,Omar Cooper Jr.,69.14285714285714,68.43003412969283,525,NYJ,1,30,5.960267758103249,6.432647057823131,4.814296094187675,4.318746805935977,217.7585349659862,0.4487236424569918,11.471811873749504,0.0,12.786145793817532,0.069868594,1.0,0.0,0.3417855919870716,60-80,105,0.22857142857142856,0.1586828389252159,0.3176203392713559,0.1523809523809524,0.09602582280126758,0.233274738748728,6.9012184873949565
WR,8,Germie Bernard,66.85714285714286,67.06484641638225,525,PIT,2,47,5.660352908288315,7.506793175186742,5.590932319927976,4.864879139744605,248.85660061224485,0.1488087926420584,11.171897023934571,0.0,12.486230944002598,0.07231198,1.0,0.0,0.44392548001679,60-80,105,0.22857142857142856,0.1586828389252159,0.3176203392713559,0.1523809523809524,0.09602582280126758,0.233274738748728,6.9012184873949565
WR,9,Elijah Sarratt,64.95238095238095,66.72354948805462,525,BAL,4,115,5.434221705682271,6.385772392957189,3.611845318627448,4.4148615984998765,225.367517687075,0.0,10.945765821328528,0.0,12.260099741396552,0.14666602,1.0,0.0,-1.6321828396915623,60-80,105,0.22857142857142856,0.1586828389252159,0.3176203392713559,0.1523809523809524,0.09602582280126758,0.233274738748728,6.9012184873949565
WR,10,Malachi Fields,64.95238095238095,66.38225255972696,525,NYG,3,74,5.4003923165516206,6.909673560507537,3.719831230992397,4.603855807197844,224.6238099319728,0.0,10.911936432197876,0.0,12.226270352265905,0.060176514,1.0,0.0,0.1342940741976583,60-80,105,0.22857142857142856,0.1586828389252159,0.3176203392713559,0.1523809523809524,0.09602582280126758,0.233274738748728,6.9012184873949565
WR,11,Antonio Williams,62.47619047619048,65.35836177474403,525,WAS,3,71,5.087450011129453,6.274023906479258,3.941547579031612,3.5887131643566943,200.6537298639457,0.0,10.598994126775713,0.0,11.913328046843736,0.092394084,1.0,0.0,0.4831385364879299,60-80,105,0.22857142857142856,0.1586828389252159,0.3176203392713559,0.1523809523809524,0.09602582280126758,0.233274738748728,6.9012184873949565
WR,12,Caleb Douglas,62.095238095238095,64.67576791808874,525,MIA,3,75,4.990803552546018,5.97755713235294,3.7011365551220505,3.914245279372696,185.38122707482975,0.0,10.502347668192275,0.0,11.816681588260302,0.06028268,1.0,0.0,-0.0462108524026243,60-80,105,0.22857142857142856,0.1586828389252159,0.3176203392713559,0.1523809523809524,0.09602582280126758,0.233274738748728,6.9012184873949565
WR,13,Ted Hurst,61.523809523809526,64.16382252559727,525,TAM,3,84,4.924652876150458,6.237727900243432,3.524682941426569,4.012779325064609,201.6118870748299,0.0,10.436196991796717,0.0,11.75053091186474,0.22577477,1.0,0.0,0.7126772734525373,60-80,105,0.22857142857142856,0.1586828389252159,0.3176203392713559,0.1523809523809524,0.09602582280126758,0.233274738748728,6.9012184873949565
