calibration_type,position,minimum_percentile,n,hit_rate,hit_rate_ci_low,hit_rate_ci_high,star_rate,star_rate_ci_low,star_rate_ci_high,mean_primary_ppg
pooled_reference,TE,70,70,0.4,0.2933408057355693,0.5170641692378874,0.14285714285714285,0.07948856360443703,0.24338634701505113,6.059254201680673
pooled_reference,TE,80,47,0.425531914893617,0.2951341600182584,0.5671833122878847,0.1702127659574468,0.0888625809126393,0.3014005107288512,6.621006727158949
pooled_reference,TE,90,24,0.5833333333333334,0.3883433764938864,0.7553265275346177,0.16666666666666666,0.06678568000728924,0.3585347038786943,7.683295036764705
pooled_reference,TE,95,12,0.5833333333333334,0.3195073356553728,0.8067425380947535,0.16666666666666666,0.04696414761482223,0.44803635738467273,7.199571078431372
prior_only_reference,QB,50,82,0.3048780487804878,0.21583254094468948,0.4113878277343659,0.21951219512195122,0.1436067129787513,0.3205225669973908,9.08671180057389
prior_only_reference,QB,60,70,0.3,0.2053645673851015,0.4154453825618119,0.21428571428571427,0.13438585667978442,0.32391407181580606,9.635731092436977
prior_only_reference,QB,70,56,0.35714285714285715,0.2445639270270599,0.4880635428266874,0.26785714285714285,0.1695715866189496,0.3959480518933896,11.192800026260503
prior_only_reference,QB,80,43,0.4186046511627907,0.2838433433748524,0.5667168424428823,0.3023255813953488,0.18601827946182872,0.4510564575240983,12.889327120383037
prior_only_reference,QB,90,31,0.4838709677419355,0.3196998603127883,0.6515988171302683,0.3548387096774194,0.21116447741565816,0.530523619571851,13.960564516129033
prior_only_reference,QB,95,26,0.46153846153846156,0.28755582695234905,0.6454236379556988,0.3076923076923077,0.16501120939792674,0.49988611514231246,13.510668834841631
prior_only_reference,RB,50,167,0.24550898203592814,0.18643967391693206,0.31602342640523773,0.15568862275449102,0.10851495315803454,0.21834688845431277,7.920160487847834
prior_only_reference,RB,60,140,0.2785714285714286,0.210984864123534,0.35798544766387663,0.18571428571428572,0.13000468864860967,0.25821123775932797,8.645726890756302
prior_only_reference,RB,70,98,0.3469387755102041,0.26008447663750445,0.44534041849375827,0.24489795918367346,0.1704485358593521,0.3385929560260857,10.00155087034814
prior_only_reference,RB,80,70,0.42857142857142855,0.31935124886212546,0.5452237332617722,0.3,0.2053645673851015,0.4154453825618119,11.053019432773112
prior_only_reference,RB,90,30,0.6,0.42320052498273836,0.7540960567391659,0.43333333333333335,0.2737723743061511,0.6080299045459127,13.55691544117647
prior_only_reference,RB,95,14,0.7142857142857143,0.4535045882751561,0.882788120898909,0.5,0.2679886791947528,0.7320113208052472,14.766255252100837
prior_only_reference,WR,50,280,0.24642857142857144,0.19960991359853134,0.30011105753466405,0.14285714285714285,0.10669537571406831,0.1886862737693055,6.768213760504202
prior_only_reference,WR,60,228,0.2807017543859649,0.2263802614319717,0.3422907622324612,0.16666666666666666,0.1239003653971856,0.2204795905727525,7.541019414344686
prior_only_reference,WR,70,183,0.3224043715846995,0.2589363727081025,0.3931753625799705,0.19672131147540983,0.14561645311924143,0.26029743329577537,8.324604026036644
prior_only_reference,WR,80,134,0.373134328358209,0.29585320691015,0.45748685878844914,0.23134328358208955,0.16803556563317654,0.3096257499638566,8.996780618964005
prior_only_reference,WR,90,73,0.4520547945205479,0.3431446980664788,0.565758812531947,0.273972602739726,0.18491307031474408,0.3856320510778349,9.789985394842871
prior_only_reference,WR,95,39,0.5641025641025641,0.40975423474522105,0.7069547583829534,0.3076923076923077,0.1856575344598306,0.464215486155646,10.369022435897437
prior_only_reference,TE,50,106,0.27358490566037735,0.1977580712218776,0.3652490226296321,0.10377358490566038,0.05893898061424894,0.17632343362589323,4.97422135127636
prior_only_reference,TE,60,91,0.2967032967032967,0.212633552714673,0.39724228236191794,0.10989010989010989,0.06079407536219415,0.19058928383883156,5.217281431803491
prior_only_reference,TE,70,75,0.36,0.26064766399338823,0.4729954888599277,0.13333333333333333,0.07406505099414731,0.2283336826692994,5.610345588235293
prior_only_reference,TE,80,49,0.42857142857142855,0.3002310889895705,0.5672975248298444,0.1836734693877551,0.09976228838458358,0.31357871567282575,6.4570115546218485
prior_only_reference,TE,90,28,0.5357142857142857,0.3581239514210167,0.7046869626034041,0.17857142857142858,0.0787838582943011,0.355917915485911,7.514922531512606
prior_only_reference,TE,95,18,0.6666666666666666,0.4374906934425036,0.8372144563633714,0.2222222222222222,0.09000781913382,0.4521502645230549,8.255014297385621
