calibration_type,position,percentile_bucket,n,hit_rate,hit_rate_ci_low,hit_rate_ci_high,star_rate,star_rate_ci_low,star_rate_ci_high,mean_primary_ppg,median_primary_ppg,mean_prospect_score
pooled_reference,RB,90-95,19,0.47368421052631576,0.27329505487448547,0.6829251748817489,0.3684210526315789,0.1914927237627384,0.5896084250184328,11.892691563467494,12.075367647058822,10.271962034868386
pooled_reference,RB,95-100,19,0.7368421052631579,0.5120803155892935,0.8819376166045982,0.47368421052631576,0.27329505487448547,0.6829251748817489,14.884707817337462,13.3725,12.695997218958029
pooled_reference,TE,0-20,46,0.0,0.0,0.07707617732978073,0.0,0.0,0.07707617732978073,0.6153053069053709,0.18455882352941175,0.69063359267174
pooled_reference,TE,20-40,46,0.06521739130434782,0.022427454466343574,0.17503009103781358,0.043478260869565216,0.012005193588830829,0.1453252291905342,2.17834878516624,1.1515625,1.8709529140037304
pooled_reference,TE,40-60,47,0.14893617021276595,0.07406626087497505,0.2768589657111277,0.0425531914893617,0.01174802937056972,0.1424878719385944,3.043687421777221,1.4705882352941178,2.9608904248774297
pooled_reference,TE,60-80,46,0.1956521739130435,0.10650490444121799,0.331715377411692,0.06521739130434782,0.022427454466343574,0.17503009103781358,4.160362052429668,3.629963235294118,4.20032617468363
pooled_reference,TE,80-90,23,0.2608695652173913,0.1254844588924897,0.4647039054375056,0.17391304347826086,0.06978540350612772,0.37138054785295666,5.512531969309463,5.362500000000001,5.902430453447836
pooled_reference,TE,90-95,12,0.5833333333333334,0.3195073356553728,0.8067425380947535,0.16666666666666666,0.04696414761482223,0.44803635738467273,8.16701899509804,9.285110294117647,7.571677851287323
pooled_reference,TE,95-100,12,0.5833333333333334,0.3195073356553728,0.8067425380947535,0.16666666666666666,0.04696414761482223,0.44803635738467273,7.199571078431372,7.79283088235294,8.550102029053681
pooled_reference,WR,0-20,105,0.0,0.0,0.035295328256842964,0.0,0.0,0.035295328256842964,1.97693837535014,0.684375,1.3061936312317133
pooled_reference,WR,20-40,105,0.0380952380952381,0.014912218047781596,0.09388441853234952,0.009523809523809525,0.0016831259050527937,0.051987529432612214,2.096984943977591,0.5562499999999999,2.4090253592262303
pooled_reference,WR,40-60,105,0.09523809523809523,0.05255574298315682,0.1664928560819065,0.0380952380952381,0.014912218047781596,0.09388441853234952,3.4736726190476186,2.45,3.668751794389473
pooled_reference,WR,60-80,105,0.22857142857142856,0.1586828389252159,0.3176203392713559,0.1523809523809524,0.09602582280126758,0.233274738748728,6.9012184873949565,6.253124999999999,6.150770711220557
pooled_reference,WR,80-90,52,0.2692307692307692,0.1676881003582587,0.4025247875246099,0.17307692307692307,0.0938236875646778,0.29731123693605277,8.472018523755658,8.76545955882353,8.519827301782893
pooled_reference,WR,90-95,26,0.46153846153846156,0.28755582695234905,0.6454236379556988,0.3076923076923077,0.16501120939792674,0.49988611514231246,9.713567590497737,10.132628676470588,10.064056595647875
pooled_reference,WR,95-100,27,0.5925925925925926,0.4072638305536409,0.7548548662714265,0.2962962962962963,0.15852853317647564,0.4848103338083759,10.68704248366013,11.3875,12.073344044775318
prior_only_reference,QB,0-20,32,0.0,0.0,0.1071827150573635,0.0,0.0,0.1071827150573635,1.1680583639705884,0.10253676470588234,0.7748234105446306
prior_only_reference,QB,20-40,17,0.0,0.0,0.18432366037156456,0.0,0.0,0.18432366037156456,0.8746107266435987,0.275625,1.2622410959017318
prior_only_reference,QB,40-60,20,0.2,0.0806563532712,0.41602172202575993,0.15,0.05236779195949584,0.36042329588695743,4.0651102941176465,0.0553125,2.055769999183343
prior_only_reference,QB,60-80,28,0.10714285714285714,0.03711769205479949,0.2719622536765708,0.07142857142857142,0.019811647447770794,0.2264573842591786,4.329499737394959,1.2354411764705882,4.0334829841699475
prior_only_reference,QB,80-90,11,0.2727272727272727,0.09745880573921467,0.5656502930102463,0.18181818181818182,0.05136660067100063,0.4769861375782448,10.954334893048127,7.976250000000001,10.117732129185084
prior_only_reference,QB,90-95,5,0.6,0.23071993220883708,0.8823817688407467,0.6,0.23071993220883708,0.8823817688407467,16.300022058823533,16.57875,11.812126508179393
prior_only_reference,QB,95-100,26,0.46153846153846156,0.28755582695234905,0.6454236379556988,0.3076923076923077,0.16501120939792674,0.49988611514231246,13.510668834841631,14.658749999999998,14.481514118373756
