architecture,feature_set,model,score,n,mae,rmse,r2,pearson,spearman,yearly_spearman,ndcg,top5_actual,top5_regret
hurdle,capital_production,ridgeH,0.5631659189519836,141,2.1879773519887906,3.33756005621443,0.6804348918586267,0.8325112471445197,0.8662335957542822,0.8253639438625514,0.9238900426349713,12.526729166666668,1.685104166666666
direct,capital_prod_context,ridge,0.5578229715925157,141,2.6806007520700024,3.6215357699503956,0.623741140751052,0.791294840853283,0.8617024690467903,0.8595874467163857,0.9328138911147729,12.581041666666666,1.6307916666666653
residual,capital_prod_context,ridgeR,0.5398940235806985,141,2.6927583770825034,3.6643029841807,0.6148020840127408,0.7864802698378601,0.8484518691953307,0.8353315715145468,0.9036558991178056,12.455104166666667,1.7567291666666662
residual,full_landing_scout_classpct,ridgeR,0.5295192356667937,141,2.739603228288371,3.7473429510844958,0.5971456494999645,0.7756932167144164,0.8349206179969767,0.8225199256411394,0.8970610203496089,12.428229166666668,1.7836041666666664
residual,full_landing_scout,ridgeR,0.5295192356667937,141,2.739603228288371,3.7473429510844958,0.5971456494999645,0.7756932167144164,0.8349206179969767,0.8225199256411394,0.8970610203496089,12.428229166666668,1.7836041666666664
direct,full_landing_scout,ridge,0.5255441225954853,141,2.826349193421512,3.7673258024671963,0.5928377211011704,0.772202138496151,0.8354969173276222,0.8252553382908444,0.9182971383127264,12.062500000000002,2.149333333333332
direct,full_landing_scout_classpct,ridge,0.5255441225954853,141,2.826349193421512,3.7673258024671963,0.5928377211011704,0.772202138496151,0.8354969173276222,0.8252553382908444,0.9182971383127264,12.062500000000002,2.149333333333332
hurdle,capital_prod_context,ridgeH,0.48232750072046565,141,2.6638916553050147,4.138053834657541,0.5087603095196394,0.7184694517242143,0.7851060751115861,0.7491607755117293,0.8859571706189704,11.603645833333333,2.608187499999999
hurdle,full_landing_scout,ridgeH,0.4695063168850352,141,2.7221443360245856,4.166637064569098,0.501950484519101,0.7145035546907205,0.7697516613467663,0.7264866927481374,0.8794414234251237,11.602083333333333,2.609749999999999
hurdle,full_landing_scout_classpct,ridgeH,0.4695063168850352,141,2.7221443360245856,4.166637064569098,0.501950484519101,0.7145035546907205,0.7697516613467663,0.7264866927481374,0.8794414234251237,11.602083333333333,2.609749999999999
