architecture,feature_set,model,score,n,mae,rmse,r2,pearson,spearman,yearly_spearman,ndcg,top5_actual,top5_regret
hurdle,capital_production,xgbH,0.5753367967008395,69,1.7013335134601801,2.5299151822067087,0.8695133600158542,0.9408051315622765,0.8012626256896389,0.746641097488737,0.9616286679715529,10.649083333333332,0.3993124999999999
hurdle,full_landing_scout,xgbH,0.56294201890174,69,1.9445719558669488,2.8510545004407675,0.8342837243493444,0.9252612426817672,0.7850246895013988,0.7484275187015984,0.9371708166139049,10.876520833333332,0.17187500000000014
hurdle,full_landing_scout_classpct,xgbH,0.56294201890174,69,1.9445719558669488,2.8510545004407675,0.8342837243493444,0.9252612426817672,0.7850246895013988,0.7484275187015984,0.9371708166139049,10.876520833333332,0.17187500000000014
hurdle,capital_prod_context,xgbH,0.5619436160859057,69,1.9199256292407667,2.8170431663271507,0.8382139285756388,0.9257032157606114,0.7817697045707265,0.7467838787420108,0.9371000007182818,10.870083333333334,0.1783125000000001
hurdle,capital_production,ridgeH,0.5565208807103748,69,2.0123813679519875,2.984991477943605,0.8183479443826782,0.9083915774669609,0.7889639610368148,0.7336528398324794,0.9390206206074029,10.649083333333332,0.3993125000000002
direct,capital_production,ridge,0.5547653999238842,69,2.725223170219321,3.3363617849194345,0.7730655643850156,0.8806301338472646,0.796971963735571,0.7817405208323264,0.9430376547685032,10.772895833333335,0.2754999999999999
residual,capital_production,ridgeR,0.5149353627081962,69,2.8819277195591355,3.5855295542049754,0.7379037912774848,0.8593262641218107,0.7555078943346206,0.7055101455698068,0.9270747283783395,10.573770833333333,0.47462500000000024
hurdle,capital_prod_context,ridgeH,0.5018247561476166,69,2.755212983217702,5.238442942420255,0.44055349961902635,0.6991277296939609,0.7530111729389345,0.7083212792698935,0.8906137176264269,10.036125,1.0122708333333337
hurdle,full_landing_scout,ridgeH,0.48745446174276,69,2.9167121695124725,5.397987175558398,0.4059570822609089,0.6716530042753276,0.7388076023323646,0.6962160442852925,0.8744040898048165,10.0425625,1.0058333333333334
hurdle,full_landing_scout_classpct,ridgeH,0.48745446174276,69,2.9167121695124725,5.397987175558398,0.4059570822609089,0.6716530042753276,0.7388076023323646,0.6962160442852925,0.8744040898048165,10.0425625,1.0058333333333334
direct,capital_prod_context,ridge,0.47581818121794806,69,3.2704174018830323,4.659407397618937,0.5573958360417081,0.7714905567753965,0.7099381053052087,0.7165479601188407,0.8890392452853098,10.035020833333334,1.0133749999999997
residual,full_landing_scout_classpct,ridgeR,0.46879888419874705,69,3.2997454068936065,5.146385352031841,0.4600435539101724,0.7262633534354027,0.7035206066066674,0.6823340013158606,0.8872070305768212,10.232770833333333,0.8156250000000004
residual,full_landing_scout,ridgeR,0.46879888419874705,69,3.2997454068936065,5.146385352031841,0.4600435539101724,0.7262633534354027,0.7035206066066674,0.6823340013158606,0.8872070305768212,10.232770833333333,0.8156250000000004
residual,capital_prod_context,ridgeR,0.46407229627286767,69,3.31556824362876,5.094205276821521,0.4709374651340156,0.732983018558103,0.6855812010228486,0.6753048756469641,0.8879183338213602,10.434229166666666,0.6141666666666672
direct,full_landing_scout,ridge,0.4631482155710311,69,3.4332884320700923,4.731042494920869,0.5436817654561403,0.7566265931234788,0.6955310981404718,0.7008418635994181,0.8859611097886546,10.035020833333334,1.0133750000000001
direct,full_landing_scout_classpct,ridge,0.4631482155710311,69,3.4332884320700923,4.731042494920869,0.5436817654561403,0.7566265931234788,0.6955310981404718,0.7008418635994181,0.8859611097886546,10.035020833333334,1.0133750000000001
