draft_year,position,result_type,player_count,mean_model_score,max_model_score,mean_prospect_percentile,realized_hit_rate,realized_star_rate
2017,QB,historical_oof,10,5.408752138841319,15.626610593823422,56.875,0.2,0.2
2017,RB,historical_oof,30,4.708909858948272,14.266220636692289,49.535299374441465,0.3333333333333333,0.2
2017,TE,historical_oof,14,4.296950933456697,8.622158019440882,58.62068965517242,0.21428571428571427,0.14285714285714285
2017,WR,historical_oof,32,4.977866751679465,10.78439401785715,55.833333333333336,0.125,0.125
2018,QB,historical_oof,13,5.623578487912581,15.071535985368811,47.989510489510494,0.15384615384615385,0.15384615384615385
2018,RB,historical_oof,20,5.787745137586444,14.63031656827745,58.28418230563003,0.1,0.05
2018,TE,historical_oof,15,3.7124253091488546,8.086908241946551,56.178160919540225,0.3333333333333333,0.06666666666666667
2018,WR,historical_oof,34,3.899563339525205,11.296662023809525,40.87394957983194,0.14705882352941177,0.029411764705882353
2019,QB,historical_oof,11,4.947035896276429,17.345372583380062,47.62396694214876,0.09090909090909091,0.09090909090909091
2019,RB,historical_oof,25,4.538858435658586,10.710507668064864,48.911528150134046,0.08,0.04
2019,TE,historical_oof,16,3.6210545880827385,7.806176510374543,52.80172413793103,0.1875,0.0625
2019,WR,historical_oof,28,4.363712500144944,11.17189295493197,47.925170068027214,0.25,0.17857142857142858
2020,QB,historical_oof,12,5.855999150898533,16.02324038314265,45.928030303030305,0.25,0.25
2020,RB,historical_oof,18,6.594836062425581,10.697720897976431,68.05183199285075,0.1111111111111111,0.05555555555555555
2020,TE,historical_oof,12,3.799154558066816,6.587450645616636,60.0933908045977,0.08333333333333333,0.0
2020,WR,historical_oof,35,5.1776633374254475,13.380072947929168,53.31700680272109,0.22857142857142856,0.05714285714285714
2021,QB,historical_oof,10,9.272836031506916,18.09059644082,69.48863636363636,0.2,0.1
2021,RB,historical_oof,20,4.032812509765174,12.52784589687358,42.14477211796247,0.15,0.1
2021,TE,historical_oof,11,3.5919273141889736,8.764799308163829,55.52507836990595,0.18181818181818182,0.09090909090909091
2021,WR,historical_oof,35,4.835231498154998,11.51404838010204,51.30340136054422,0.14285714285714285,0.14285714285714285
2022,QB,historical_oof,9,3.9429690122233882,10.5969981645527,54.92424242424242,0.1111111111111111,0.1111111111111111
