position,pfr_name,pred_best2of3_ppg_no_scout,hit_probability_no_scout,pred_best2of3_ppg_with_scout,hit_probability_with_scout,score_delta_no_scout_minus_with_scout,hit_probability_delta_pp_no_scout_minus_with_scout,serialized_frozen_pred_best2of3_ppg,serialized_frozen_hit_probability,abs_score_scout_ablation_effect
WR,Skyler Bell,2.9815581335034027,0.02044457197189331,2.755921265256105,0.018285328522324562,0.22563686824729778,0.21592434495687485,2.7760190681272534,0.018285329,0.22563686824729778
WR,Jordyn Tyson,7.127899152160862,0.25425899028778076,7.346470382152866,0.2917986512184143,-0.21857122999200396,-3.7539660930633545,7.351202510004006,0.29179865,0.21857122999200396
WR,Zachariah Branch,4.015437381077433,0.08594314754009247,3.8044174599839913,0.08371776342391968,0.2110199210934418,0.22253841161727905,3.783675322378949,0.08371776,0.2110199210934418
WR,Kevin Coleman Jr.,2.8018546853324655,0.04731246829032898,2.9857326987044845,0.049215834587812424,-0.18387801337201903,-0.19033662974834442,2.955727631677674,0.049215835,0.18387801337201903
WR,Colbie Young,2.3072724337234893,0.03495805338025093,2.136977428721489,0.04299013689160347,0.17029500500200045,-0.8032083511352539,2.1208277613545428,0.042990137,0.17029500500200045
WR,Germie Bernard,5.83964446578632,0.06562764197587967,5.685189121523608,0.07231198251247406,0.15445534426271124,-0.6684340536594391,5.660352908288315,0.07231198,0.15445534426271124
WR,Anthony Smith,1.4894665517040149,0.01875459775328636,1.3481269832516334,0.018219776451587677,0.1413395684523815,0.05348213016986847,1.3357829581415892,0.018219776,0.1413395684523815
WR,Zavion Thomas,2.681191208233294,0.10339496284723282,2.552528111244497,0.09007555991411209,0.12866309698879697,1.3319402933120728,2.509102265906362,0.09007556,0.12866309698879697
WR,Brenen Thompson,4.039934025485196,0.03426283597946167,4.1436177858643495,0.03041176125407219,-0.10368376037915361,0.38510747253894806,4.1361262229892,0.030411761,0.10368376037915361
WR,Ja'Kobi Lane,4.068509890206083,0.07873087376356125,3.978708078731491,0.062368351966142654,0.08980181147459199,1.6362521797418594,3.99235551770708,0.062368352,0.08980181147459199
WR,Chris Bell,4.748680661222823,0.08508844673633575,4.663633208741826,0.09311939775943756,0.08504745248099699,-0.8030951023101807,4.660868620406493,0.0931194,0.08504745248099699
WR,Josh Cameron,1.43028511817227,0.0334421768784523,1.510935538590436,0.03078557178378105,-0.08065042041816595,0.26566050946712494,1.494856783338335,0.030785572,0.08065042041816595
WR,Carnell Tate,10.49823927996198,0.5522579550743103,10.418279051370552,0.5679136514663696,0.07996022859142826,-1.5655696392059326,10.396023701730696,0.56791365,0.07996022859142826
WR,Malik Benson,1.3531412268657463,0.030495909973978996,1.2797543113912229,0.026200497522950172,0.07338691547452347,0.4295412451028824,1.274803914982659,0.026200498,0.07338691547452347
WR,Emmanuel Henderson Jr.,3.0268928313825536,0.02385849878191948,2.967210749549821,0.022592859342694283,0.0596820818327326,0.12656394392251968,2.978181425320128,0.02259286,0.0596820818327326
WR,Deion Burks,1.2648266719187686,0.020519569516181946,1.3239790661264506,0.01815544068813324,-0.059152394207681924,0.2364128828048706,1.315204961484594,0.01815544,0.059152394207681924
WR,CJ Williams,1.4108420220588243,0.019439052790403366,1.3545249007102842,0.01798437349498272,0.056317121348540056,0.14546792954206467,1.3443847534013604,0.017984373,0.056317121348540056
WR,Caleb Douglas,5.046205193134073,0.06661391258239746,4.997850420043018,0.06028268113732338,0.04835477309105496,0.6331231445074081,4.990803552546018,0.06028268,0.04835477309105496
WR,KC Concepcion,9.880527706332536,0.6433666348457336,9.87134332232894,0.6734994053840637,0.009184384003596335,-3.013277053833008,9.917473993347349,0.6734994,0.009184384003596335
WR,Barion Brown,2.0788939324479814,0.04683123528957367,2.0828790173569423,0.04491123929619789,-0.003985084908960879,0.19199959933757782,2.060712861519608,0.04491124,0.003985084908960879
WR,CJ Daniels,1.1471435004001607,0.04011750593781471,1.1503577594787915,0.03694013133645058,-0.003214259078630821,0.3177374601364136,1.144071504976991,0.03694013,0.003214259078630821
WR,Lewis Bond,1.457078478474723,0.024822918698191643,1.4573094068877548,0.03180822730064392,-0.00023092841303173905,-0.6985308602452278,1.449890933248299,0.031808227,0.00023092841303173905
